,time,infection_status,risk_group,count
0,0,i,g0-00,2
1,0,i,g0-01,2
2,0,i,g0-10,2
3,0,i,g0-11,2
4,0,i,g1-00,2
5,0,i,g1-01,2
6,0,i,g1-10,2
7,0,i,g1-11,2
8,0,s,g0-00,1398
9,0,s,g0-01,1398
10,0,s,g0-10,1398
11,0,s,g0-11,1398
12,0,s,g1-00,2598
13,0,s,g1-01,2598
14,0,s,g1-10,2598
15,0,s,g1-11,2598
16,1,i,g0-00,1
17,1,i,g0-01,3
18,1,i,g0-10,2
19,1,i,g0-11,2
20,1,i,g1-00,2
21,1,i,g1-01,4
22,1,i,g1-10,6
23,1,i,g1-11,3
24,1,r,g0-00,1
25,1,r,g1-11,1
26,1,s,g0-00,1398
27,1,s,g0-01,1397
28,1,s,g0-10,1398
29,1,s,g0-11,1398
30,1,s,g1-00,2598
31,1,s,g1-01,2596
32,1,s,g1-10,2594
33,1,s,g1-11,2596
34,2,i,g0-00,2
35,2,i,g0-01,3
36,2,i,g0-10,1
37,2,i,g0-11,2
38,2,i,g1-00,2
39,2,i,g1-01,3
40,2,i,g1-10,6
41,2,i,g1-11,2
42,2,r,g0-00,1
43,2,r,g0-01,2
44,2,r,g0-10,1
45,2,r,g1-01,1
46,2,r,g1-10,1
47,2,r,g1-11,2
48,2,s,g0-00,1397
49,2,s,g0-01,1395
50,2,s,g0-10,1398
51,2,s,g0-11,1398
52,2,s,g1-00,2598
53,2,s,g1-01,2596
54,2,s,g1-10,2593
55,2,s,g1-11,2596
56,3,i,g0-00,4
57,3,i,g0-01,4
58,3,i,g0-11,2
59,3,i,g1-00,3
60,3,i,g1-01,4
61,3,i,g1-10,4
62,3,i,g1-11,3
63,3,r,g0-00,1
64,3,r,g0-01,3
65,3,r,g0-10,2
66,3,r,g1-01,1
67,3,r,g1-10,3
68,3,r,g1-11,2
69,3,s,g0-00,1395
70,3,s,g0-01,1393
71,3,s,g0-10,1398
72,3,s,g0-11,1398
73,3,s,g1-00,2597
74,3,s,g1-01,2595
75,3,s,g1-10,2593
76,3,s,g1-11,2595
77,4,i,g0-00,4
78,4,i,g0-01,4
79,4,i,g0-11,2
80,4,i,g1-00,2
81,4,i,g1-01,6
82,4,i,g1-10,4
83,4,i,g1-11,5
84,4,r,g0-00,1
85,4,r,g0-01,3
86,4,r,g0-10,2
87,4,r,g0-11,1
88,4,r,g1-00,1
89,4,r,g1-01,1
90,4,r,g1-10,3
91,4,r,g1-11,2
92,4,s,g0-00,1395
93,4,s,g0-01,1393
94,4,s,g0-10,1398
95,4,s,g0-11,1397
96,4,s,g1-00,2597
97,4,s,g1-01,2593
98,4,s,g1-10,2593
99,4,s,g1-11,2593
100,5,i,g0-00,3
101,5,i,g0-01,3
102,5,i,g0-10,1
103,5,i,g0-11,2
104,5,i,g1-00,4
105,5,i,g1-01,7
106,5,i,g1-10,5
107,5,i,g1-11,6
108,5,r,g0-00,2
109,5,r,g0-01,4
110,5,r,g0-10,2
111,5,r,g0-11,1
112,5,r,g1-00,1
113,5,r,g1-01,1
114,5,r,g1-10,5
115,5,r,g1-11,2
116,5,s,g0-00,1395
117,5,s,g0-01,1393
118,5,s,g0-10,1397
119,5,s,g0-11,1397
120,5,s,g1-00,2595
121,5,s,g1-01,2592
122,5,s,g1-10,2590
123,5,s,g1-11,2592
124,6,i,g0-00,3
125,6,i,g0-01,2
126,6,i,g0-10,2
127,6,i,g0-11,2
128,6,i,g1-00,8
129,6,i,g1-01,9
130,6,i,g1-10,7
131,6,i,g1-11,7
132,6,r,g0-00,2
133,6,r,g0-01,5
134,6,r,g0-10,2
135,6,r,g0-11,1
136,6,r,g1-00,1
137,6,r,g1-01,1
138,6,r,g1-10,6
139,6,r,g1-11,3
140,6,s,g0-00,1395
141,6,s,g0-01,1393
142,6,s,g0-10,1396
143,6,s,g0-11,1397
144,6,s,g1-00,2591
145,6,s,g1-01,2590
146,6,s,g1-10,2587
147,6,s,g1-11,2590
148,7,i,g0-00,2
149,7,i,g0-01,2
150,7,i,g0-10,2
151,7,i,g0-11,1
152,7,i,g1-00,15
153,7,i,g1-01,9
154,7,i,g1-10,6
155,7,i,g1-11,14
156,7,r,g0-00,3
157,7,r,g0-01,4
158,7,r,g0-10,2
