,time,infection_status,risk_group,count
0,0,i,g0-00,2
1,0,i,g0-01,2
2,0,i,g0-10,2
3,0,i,g0-11,2
4,0,i,g1-00,2
5,0,i,g1-01,2
6,0,i,g1-10,2
7,0,i,g1-11,2
8,0,s,g0-00,1598
9,0,s,g0-01,1598
10,0,s,g0-10,1598
11,0,s,g0-11,1598
12,0,s,g1-00,2398
13,0,s,g1-01,2398
14,0,s,g1-10,2398
15,0,s,g1-11,2398
16,1,i,g0-00,2
17,1,i,g0-01,2
18,1,i,g0-10,1
19,1,i,g0-11,2
20,1,i,g1-00,3
21,1,i,g1-10,3
22,1,i,g1-11,3
23,1,r,g0-10,1
24,1,r,g1-01,2
25,1,r,g1-11,1
26,1,s,g0-00,1598
27,1,s,g0-01,1598
28,1,s,g0-10,1598
29,1,s,g0-11,1598
30,1,s,g1-00,2397
31,1,s,g1-01,2398
32,1,s,g1-10,2397
33,1,s,g1-11,2396
34,2,i,g0-00,1
35,2,i,g0-01,2
36,2,i,g0-11,1
37,2,i,g1-00,2
38,2,i,g1-10,3
39,2,i,g1-11,5
40,2,r,g0-00,1
41,2,r,g0-10,2
42,2,r,g0-11,1
43,2,r,g1-00,1
44,2,r,g1-01,2
45,2,r,g1-10,1
46,2,r,g1-11,1
47,2,s,g0-00,1598
48,2,s,g0-01,1598
49,2,s,g0-10,1598
50,2,s,g0-11,1598
51,2,s,g1-00,2397
52,2,s,g1-01,2398
53,2,s,g1-10,2396
54,2,s,g1-11,2394
55,3,i,g0-00,1
56,3,i,g0-01,1
57,3,i,g0-11,1
58,3,i,g1-00,4
59,3,i,g1-01,2
60,3,i,g1-10,3
61,3,i,g1-11,5
62,3,r,g0-00,1
63,3,r,g0-01,1
64,3,r,g0-10,2
65,3,r,g0-11,1
66,3,r,g1-00,1
67,3,r,g1-01,2
68,3,r,g1-10,2
69,3,r,g1-11,2
70,3,s,g0-00,1598
71,3,s,g0-01,1598
72,3,s,g0-10,1598
73,3,s,g0-11,1598
74,3,s,g1-00,2395
75,3,s,g1-01,2396
76,3,s,g1-10,2395
77,3,s,g1-11,2393
78,4,i,g0-00,1
79,4,i,g0-11,1
80,4,i,g1-00,5
81,4,i,g1-01,3
82,4,i,g1-10,6
83,4,i,g1-11,8
84,4,r,g0-00,1
85,4,r,g0-01,2
86,4,r,g0-10,2
87,4,r,g0-11,1
88,4,r,g1-00,3
89,4,r,g1-01,2
90,4,r,g1-10,2
91,4,r,g1-11,2
92,4,s,g0-00,1598
93,4,s,g0-01,1598
94,4,s,g0-10,1598
95,4,s,g0-11,1598
96,4,s,g1-00,2392
97,4,s,g1-01,2395
98,4,s,g1-10,2392
99,4,s,g1-11,2390
100,5,i,g0-00,1
101,5,i,g0-10,1
102,5,i,g0-11,1
103,5,i,g1-00,9
104,5,i,g1-01,6
105,5,i,g1-10,6
106,5,i,g1-11,7
107,5,r,g0-00,1
108,5,r,g0-01,2
109,5,r,g0-10,2
110,5,r,g0-11,1
111,5,r,g1-00,3
112,5,r,g1-01,3
113,5,r,g1-10,5
114,5,r,g1-11,4
115,5,s,g0-00,1598
116,5,s,g0-01,1598
117,5,s,g0-10,1597
118,5,s,g0-11,1598
119,5,s,g1-00,2388
120,5,s,g1-01,2391
121,5,s,g1-10,2389
122,5,s,g1-11,2389
123,6,i,g0-00,1
124,6,i,g0-10,2
125,6,i,g0-11,1
126,6,i,g1-00,9
127,6,i,g1-01,11
128,6,i,g1-10,6
129,6,i,g1-11,12
130,6,r,g0-00,1
131,6,r,g0-01,2
132,6,r,g0-10,2
133,6,r,g0-11,1
134,6,r,g1-00,4
135,6,r,g1-01,3
136,6,r,g1-10,6
137,6,r,g1-11,5
138,6,s,g0-00,1598
139,6,s,g0-01,1598
140,6,s,g0-10,1596
141,6,s,g0-11,1598
142,6,s,g1-00,2387
143,6,s,g1-01,2386
144,6,s,g1-10,2388
145,6,s,g1-11,2383
146,7,i,g0-00,2
147,7,i,g0-10,3
148,7,i,g0-11,1
149,7,i,g1-00,9
150,7,i,g1-01,18
151,7,i,g1-10,5
152,7,i,g1-11,19
153,7,r,g0-00,1
154,7,r,g0-01,2
155,7,r,g0-10,2
156,7,r,g0-11,2
157,7,r,g1-00,4
158,7,r,g1-01,5
