,time,infection_status,risk_group,count
0,0,i,g0-00,3
1,0,i,g0-01,2
2,0,i,g0-10,2
3,0,i,g1-00,1
4,0,i,g1-01,2
5,0,i,g1-10,2
6,0,i,g1-11,4
7,0,s,g0-00,1111
8,0,s,g0-01,740
9,0,s,g0-10,1189
10,0,s,g0-11,770
11,0,s,g1-00,2885
12,0,s,g1-01,3256
13,0,s,g1-10,2807
14,0,s,g1-11,3226
15,1,i,g0-00,2
16,1,i,g0-01,2
17,1,i,g0-10,4
18,1,i,g0-11,2
19,1,i,g1-00,1
20,1,i,g1-01,3
21,1,i,g1-10,1
22,1,i,g1-11,3
23,1,r,g0-01,1
24,1,r,g1-00,1
25,1,s,g0-00,1191
26,1,s,g0-01,846
27,1,s,g0-10,1137
28,1,s,g0-11,794
29,1,s,g1-00,2805
30,1,s,g1-01,3148
31,1,s,g1-10,2858
32,1,s,g1-11,3201
33,2,i,g0-00,3
34,2,i,g0-01,3
35,2,i,g0-10,3
36,2,i,g0-11,3
37,2,i,g1-00,2
38,2,i,g1-01,2
39,2,i,g1-10,5
40,2,i,g1-11,2
41,2,r,g0-00,2
42,2,r,g1-00,1
43,2,r,g1-01,2
44,2,r,g1-11,1
45,2,s,g0-00,1214
46,2,s,g0-01,853
47,2,s,g0-10,1144
48,2,s,g0-11,796
49,2,s,g1-00,2778
50,2,s,g1-01,3140
51,2,s,g1-10,2848
52,2,s,g1-11,3198
53,3,i,g0-00,1
54,3,i,g0-01,3
55,3,i,g0-10,5
56,3,i,g0-11,3
57,3,i,g1-00,4
58,3,i,g1-01,1
59,3,i,g1-10,2
60,3,i,g1-11,3
61,3,r,g0-00,1
62,3,r,g0-11,1
63,3,r,g1-00,2
64,3,r,g1-01,3
65,3,r,g1-10,1
66,3,s,g0-00,1189
67,3,s,g0-01,770
68,3,s,g0-10,1216
69,3,s,g0-11,847
70,3,s,g1-00,2803
71,3,s,g1-01,3223
72,3,s,g1-10,2776
73,3,s,g1-11,3146
74,4,i,g0-00,2
75,4,i,g0-01,1
76,4,i,g0-10,4
77,4,i,g0-11,2
78,4,i,g1-00,3
79,4,i,g1-01,3
80,4,i,g1-10,3
81,4,i,g1-11,5
82,4,r,g0-00,2
83,4,r,g0-01,1
84,4,r,g1-00,3
85,4,r,g1-01,2
86,4,r,g1-10,1
87,4,r,g1-11,1
88,4,s,g0-00,1223
89,4,s,g0-01,841
90,4,s,g0-10,1223
91,4,s,g0-11,810
92,4,s,g1-00,2767
93,4,s,g1-01,3152
94,4,s,g1-10,2769
95,4,s,g1-11,3182
96,5,i,g0-01,1
