,time,infection_status,risk_group,count
0,0,i,g0-00,3
1,0,i,g0-11,2
2,0,i,g1-00,1
3,0,i,g1-01,4
4,0,i,g1-10,4
5,0,i,g1-11,2
6,0,s,g0-00,1191
7,0,s,g0-01,851
8,0,s,g0-10,1246
9,0,s,g0-11,821
10,0,s,g1-00,2805
11,0,s,g1-01,3145
12,0,s,g1-10,2750
13,0,s,g1-11,3175
14,1,i,g0-00,3
15,1,i,g0-01,2
16,1,i,g0-10,3
17,1,i,g0-11,3
18,1,i,g1-00,2
19,1,i,g1-01,3
20,1,i,g1-10,1
21,1,i,g1-11,2
22,1,r,g0-01,1
23,1,s,g0-00,1195
24,1,s,g0-01,860
25,1,s,g0-10,1186
26,1,s,g0-11,790
27,1,s,g1-00,2800
28,1,s,g1-01,3134
29,1,s,g1-10,2810
30,1,s,g1-11,3205
31,2,i,g0-00,4
32,2,i,g0-01,4
33,2,i,g0-10,2
34,2,i,g0-11,2
35,2,i,g1-00,1
36,2,i,g1-01,3
37,2,i,g1-10,2
38,2,i,g1-11,4
39,2,r,g0-01,1
40,2,r,g1-00,2
41,2,r,g1-01,1
42,2,s,g0-00,1221
43,2,s,g0-01,837
44,2,s,g0-10,1171
45,2,s,g0-11,889
46,2,s,g1-00,2772
47,2,s,g1-01,3154
48,2,s,g1-10,2825
49,2,s,g1-11,3105
50,3,i,g0-00,2
51,3,i,g0-01,5
52,3,i,g0-10,3
53,3,i,g0-11,6
54,3,i,g1-00,3
55,3,i,g1-01,5
56,3,i,g1-11,7
57,3,r,g0-00,1
58,3,r,g1-00,1
59,3,r,g1-01,3
60,3,r,g1-10,1
61,3,s,g0-00,1235
62,3,s,g0-01,862
63,3,s,g0-10,1190
64,3,s,g0-11,824
65,3,s,g1-00,2758
66,3,s,g1-01,3125
67,3,s,g1-10,2806
68,3,s,g1-11,3163
69,4,i,g0-00,3
70,4,i,g0-01,5
71,4,i,g0-10,4
72,4,i,g0-11,4
73,4,i,g1-00,2
74,4,i,g1-01,5
75,4,i,g1-11,7
76,4,r,g0-00,1
77,4,r,g0-01,2
78,4,r,g1-00,1
79,4,r,g1-01,3
80,4,r,g1-10,1
81,4,r,g1-11,3
82,4,s,g0-00,1159
83,4,s,g0-01,811
84,4,s,g0-10,1236
85,4,s,g0-11,807
86,4,s,g1-00,2834
87,4,s,g1-01,3174
88,4,s,g1-10,2759
89,4,s,g1-11,3179
90,5,i,g0-00,1
91,5,i,g0-01,3
92,5,i,g0-10,5
93,5,i,g0-11,7
94,5,i,g1-00,7
95,5,i,g1-01,5
96,5,i,g1-10,3
97,5,i,g1-11,8
98,5,r,g0-00,2
99,5,r,g0-01,3
100,5,r,g0-10,1
101,5,r,g0-11,1
102,5,r,g1-00,2
103,5,r,g1-01,4
104,5,r,g1-11,3
105,5,s,g0-00,1226
106,5,s,g0-01,854
107,5,s,g0-10,1224
108,5,s,g0-11,829
109,5,s,g1-00,2762
110,5,s,g1-01,3131
111,5,s,g1-10,2767
112,5,s,g1-11,3152
113,6,i,g0-00,7
114,6,i,g0-01,2
115,6,i,g0-10,4
116,6,i,g0-11,8
117,6,i,g1-00,3
118,6,i,g1-01,6
119,6,i,g1-10,4
120,6,i,g1-11,11
121,6,r,g0-00,1
122,6,r,g0-10,1
123,6,r,g0-11,1
124,6,r,g1-00,5
125,6,r,g1-01,8
126,6,r,g1-10,1
127,6,r,g1-11,7
128,6,s,g0-00,1173
129,6,s,g0-01,876
130,6,s,g0-10,1200
131,6,s,g0-11,801
132,6,s,g1-00,2811
133,6,s,g1-01,3108
134,6,s,g1-10,2790
135,6,s,g1-11,3172
136,7,i,g0-00,7
137,7,i,g0-01,8
138,7,i,g0-10,5
139,7,i,g0-11,6
140,7,i,g1-00,8
141,7,i,g1-01,6
142,7,i,g1-10,2
143,7,i,g1-11,14
144,7,r,g0-00,2
145,7,r,g0-01,2
146,7,r,g0-10,2
147,7,r,g0-11,3
148,7,r,g1-00,5
149,7,r,g1-01,6
150,7,r,g1-10,2
151,7,r,g1-11,8
152,7,s,g0-00,1185
153,7,s,g0-01,843
154,7,s,g0-10,1180
155,7,s,g0-11,808
156,7,s,g1-00,2793
157,7,s,g1-01,3135
158,7,s,g1-10,2809
159,7,s,g1-11,3161
160,8,i,g0-00,9
161,8,i,g0-01,10
162,8,i,g0-10,4
163,8,i,g0-11,7
164,8,i,g1-00,6
165,8,i,g1-01,9
166,8,i,g1-11,17
167,8,r,g0-00,1
168,8,r,g0-01,3
169,8,r,g0-10,1
170,8,r,g0-11,1
171,8,r,g1-00,9
172,8,r,g1-01,9
173,8,r,g1-10,7
174,8,r,g1-11,13
175,8,s,g0-00,1208
176,8,s,g0-01,817
177,8,s,g0-10,1226
178,8,s,g0-11,830
179,8,s,g1-00,2767
180,8,s,g1-01,3152
181,8,s,g1-10,2762
182,8,s,g1-11,3132
183,9,i,g0-00,9
184,9,i,g0-01,11
185,9,i,g0-10,4
186,9,i,g0-11,11
187,9,i,g1-00,9
188,9,i,g1-01,12
189,9,i,g1-10,2
190,9,i,g1-11,14
191,9,r,g0-00,3
192,9,r,g0-01,1
193,9,r,g0-10,1
194,9,r,g0-11,2
195,9,r,g1-00,8
196,9,r,g1-01,12
197,9,r,g1-10,7
198,9,r,g1-11,15
199,9,s,g0-00,1174
200,9,s,g0-01,883
201,9,s,g0-10,1275
202,9,s,g0-11,828
203,9,s,g1-00,2797
204,9,s,g1-01,3081
205,9,s,g1-10,2711
206,9,s,g1-11,3130
207,10,i,g0-00,13
208,10,i,g0-01,8
209,10,i,g0-10,1
210,10,i,g0-11,11
211,10,i,g1-00,9
212,10,i,g1-01,16
213,10,i,g1-10,6
214,10,i,g1-11,15
215,10,r,g0-00,2
216,10,r,g0-01,2
217,10,r,g0-10,5
218,10,r,g0-11,5
219,10,r,g1-00,9
220,10,r,g1-01,15
221,10,r,g1-10,4
222,10,r,g1-11,17
223,10,s,g0-00,1220
224,10,s,g0-01,866
225,10,s,g0-10,1227
226,10,s,g0-11,842
227,10,s,g1-00,2747
228,10,s,g1-01,3093
229,10,s,g1-10,2757
230,10,s,g1-11,3110
231,11,i,g0-00,13
232,11,i,g0-01,10
233,11,i,g0-10,5
234,11,i,g0-11,13
235,11,i,g1-00,8
236,11,i,g1-01,17
237,11,i,g1-10,6
238,11,i,g1-11,14
239,11,r,g0-00,5
240,11,r,g0-01,3
241,11,r,g0-10,3
242,11,r,g0-11,8
243,11,r,g1-00,13
244,11,r,g1-01,17
245,11,r,g1-10,7
246,11,r,g1-11,20
247,11,s,g0-00,1201
248,11,s,g0-01,830
249,11,s,g0-10,1237
250,11,s,g0-11,826
251,11,s,g1-00,2760
252,11,s,g1-01,3123
253,11,s,g1-10,2742
254,11,s,g1-11,3119
255,12,i,g0-00,10
256,12,i,g0-01,14
257,12,i,g0-10,12
258,12,i,g0-11,23
259,12,i,g1-00,11
260,12,i,g1-01,19
261,12,i,g1-10,3
262,12,i,g1-11,12
263,12,r,g0-00,10
264,12,r,g0-01,9
265,12,r,g0-10,2
266,12,r,g0-11,4
267,12,r,g1-00,11
268,12,r,g1-01,15
269,12,r,g1-10,8
270,12,r,g1-11,26
271,12,s,g0-00,1240
272,12,s,g0-01,812
273,12,s,g0-10,1236
274,12,s,g0-11,877
275,12,s,g1-00,2718
276,12,s,g1-01,3131
277,12,s,g1-10,2739
278,12,s,g1-11,3058
279,13,i,g0-00,10
280,13,i,g0-01,15
281,13,i,g0-10,13
282,13,i,g0-11,23
283,13,i,g1-00,10
284,13,i,g1-01,20
285,13,i,g1-10,5
286,13,i,g1-11,19
287,13,r,g0-00,7
288,13,r,g0-01,8
289,13,r,g0-10,3
290,13,r,g0-11,8
291,13,r,g1-00,20
292,13,r,g1-01,22
293,13,r,g1-10,9
294,13,r,g1-11,23
295,13,s,g0-00,1187
296,13,s,g0-01,847
297,13,s,g0-10,1208
298,13,s,g0-11,860
299,13,s,g1-00,2766
300,13,s,g1-01,3088
301,13,s,g1-10,2762
302,13,s,g1-11,3067
303,14,i,g0-00,14
304,14,i,g0-01,17
305,14,i,g0-10,8
306,14,i,g0-11,16
307,14,i,g1-00,10
308,14,i,g1-01,28
