,time,infection_status,risk_group,count
0,0,i,g0-00,2
1,0,i,g0-01,2
2,0,i,g0-10,2
3,0,i,g0-11,2
4,0,i,g1-00,2
5,0,i,g1-01,2
6,0,i,g1-10,2
7,0,i,g1-11,2
8,0,s,g0-00,1177
9,0,s,g0-01,828
10,0,s,g0-10,1168
11,0,s,g0-11,790
12,0,s,g1-00,2819
13,0,s,g1-01,3168
14,0,s,g1-10,2828
15,0,s,g1-11,3206
16,1,i,g0-00,2
17,1,i,g0-10,1
18,1,i,g0-11,2
19,1,i,g1-00,4
20,1,i,g1-01,5
21,1,i,g1-10,2
22,1,i,g1-11,2
23,1,r,g0-10,1
24,1,r,g1-10,1
25,1,s,g0-00,1201
26,1,s,g0-01,842
27,1,s,g0-10,1226
28,1,s,g0-11,814
29,1,s,g1-00,2793
30,1,s,g1-01,3153
31,1,s,g1-10,2769
32,1,s,g1-11,3182
33,2,i,g0-00,4
34,2,i,g0-01,2
35,2,i,g0-10,3
36,2,i,g1-00,3
37,2,i,g1-01,4
38,2,i,g1-10,1
39,2,i,g1-11,5
40,2,r,g0-00,1
41,2,r,g1-10,2
42,2,s,g0-00,1212
43,2,s,g0-01,864
44,2,s,g0-10,1179
45,2,s,g0-11,828
46,2,s,g1-00,2780
47,2,s,g1-01,3130
48,2,s,g1-10,2815
49,2,s,g1-11,3167
50,3,i,g0-00,5
51,3,i,g0-01,4
52,3,i,g0-10,2
53,3,i,g0-11,3
54,3,i,g1-00,2
55,3,i,g1-01,5
56,3,i,g1-10,1
57,3,i,g1-11,4
58,3,r,g0-01,1
59,3,r,g0-10,1
60,3,r,g1-00,1
61,3,r,g1-10,2
62,3,r,g1-11,1
63,3,s,g0-00,1196
64,3,s,g0-01,847
65,3,s,g0-10,1218
66,3,s,g0-11,864
67,3,s,g1-00,2796
68,3,s,g1-01,3143
69,3,s,g1-10,2776
70,3,s,g1-11,3128
71,4,i,g0-00,2
72,4,i,g0-01,2
73,4,i,g0-10,2
74,4,i,g0-11,4
75,4,i,g1-00,8
76,4,i,g1-01,9
77,4,i,g1-10,2
78,4,i,g1-11,3
79,4,r,g0-11,1
80,4,r,g1-00,1
81,4,r,g1-01,1
82,4,r,g1-10,4
83,4,r,g1-11,3
84,4,s,g0-00,1196
85,4,s,g0-01,812
86,4,s,g0-10,1221
87,4,s,g0-11,831
88,4,s,g1-00,2793
89,4,s,g1-01,3176
90,4,s,g1-10,2771
91,4,s,g1-11,3158
92,5,i,g0-00,5
93,5,i,g0-01,7
94,5,i,g0-10,3
95,5,i,g0-11,1
96,5,i,g1-00,5
97,5,i,g1-01,9
98,5,i,g1-10,3
99,5,i,g1-11,4
100,5,r,g0-01,1
101,5,r,g0-11,2
102,5,r,g1-00,2
103,5,r,g1-01,2
104,5,r,g1-10,4
105,5,r,g1-11,4
106,5,s,g0-00,1229
107,5,s,g0-01,837
108,5,s,g0-10,1190
109,5,s,g0-11,797
110,5,s,g1-00,2759
111,5,s,g1-01,3144
112,5,s,g1-10,2800
113,5,s,g1-11,3192
114,6,i,g0-00,8
115,6,i,g0-01,5
116,6,i,g0-10,5
117,6,i,g0-11,5
118,6,i,g1-00,5
119,6,i,g1-01,14
120,6,i,g1-10,4
121,6,i,g1-11,3
122,6,r,g0-10,1
123,6,r,g0-11,2
124,6,r,g1-00,2
125,6,r,g1-01,4
126,6,r,g1-10,3
127,6,r,g1-11,4
128,6,s,g0-00,1204
129,6,s,g0-01,862
130,6,s,g0-10,1200
131,6,s,g0-11,852
132,6,s,g1-00,2781
133,6,s,g1-01,3115
134,6,s,g1-10,2787
135,6,s,g1-11,3134
136,7,i,g0-00,12
137,7,i,g0-01,8
138,7,i,g0-10,9
139,7,i,g0-11,3
140,7,i,g1-00,5
141,7,i,g1-01,12
142,7,i,g1-10,3
143,7,i,g1-11,10
144,7,r,g0-00,1
145,7,r,g0-01,1
146,7,r,g0-10,2
147,7,r,g0-11,2
148,7,r,g1-00,5
149,7,r,g1-01,5
150,7,r,g1-10,4
151,7,r,g1-11,5
152,7,s,g0-00,1209
153,7,s,g0-01,772
154,7,s,g0-10,1194
155,7,s,g0-11,770
156,7,s,g1-00,2768
157,7,s,g1-01,3202
158,7,s,g1-10,2788
