,time,infection_status,risk_group,count
0,0,i,g0-00,3
1,0,i,g0-01,1
2,0,i,g0-10,3
3,0,i,g1-00,1
4,0,i,g1-01,3
5,0,i,g1-10,1
6,0,i,g1-11,4
7,0,s,g0-00,575
8,0,s,g0-01,1237
9,0,s,g0-10,600
10,0,s,g0-11,1261
11,0,s,g1-00,1421
12,0,s,g1-01,4759
13,0,s,g1-10,1396
14,0,s,g1-11,4735
15,1,i,g0-00,3
16,1,i,g0-01,2
17,1,i,g0-11,2
18,1,i,g1-00,1
19,1,i,g1-01,4
20,1,i,g1-10,3
21,1,i,g1-11,1
22,1,r,g1-01,1
23,1,r,g1-10,1
24,1,r,g1-11,1
25,1,s,g0-00,595
26,1,s,g0-01,1207
27,1,s,g0-10,595
28,1,s,g0-11,1328
29,1,s,g1-00,1401
30,1,s,g1-01,4786
31,1,s,g1-10,1401
32,1,s,g1-11,4668
33,2,i,g0-00,4
34,2,i,g0-01,3
35,2,i,g0-10,2
36,2,i,g0-11,1
37,2,i,g1-00,1
38,2,i,g1-01,5
39,2,i,g1-10,1
40,2,i,g1-11,6
41,2,r,g0-10,1
42,2,r,g0-11,1
43,2,r,g1-01,2
44,2,s,g0-00,590
45,2,s,g0-01,1238
46,2,s,g0-10,632
47,2,s,g0-11,1208
48,2,s,g1-00,1405
49,2,s,g1-01,4752
50,2,s,g1-10,1364
51,2,s,g1-11,4784
52,3,i,g0-00,4
53,3,i,g0-01,5
54,3,i,g0-10,1
55,3,i,g0-11,4
56,3,i,g1-01,7
57,3,i,g1-10,3
58,3,i,g1-11,12
59,3,r,g0-00,1
60,3,r,g0-11,1
61,3,r,g1-01,3
62,3,r,g1-10,1
63,3,s,g0-00,608
64,3,s,g0-01,1261
65,3,s,g0-10,583
66,3,s,g0-11,1199
67,3,s,g1-00,1387
68,3,s,g1-01,4724
69,3,s,g1-10,1412
70,3,s,g1-11,4784
71,4,i,g0-00,2
72,4,i,g0-01,5
73,4,i,g0-10,2
74,4,i,g0-11,7
75,4,i,g1-00,2
76,4,i,g1-01,11
77,4,i,g1-10,1
78,4,i,g1-11,10
79,4,r,g0-01,2
80,4,r,g1-00,3
81,4,r,g1-01,2
82,4,r,g1-10,2
83,4,r,g1-11,2
84,4,s,g0-00,603
85,4,s,g0-01,1260
86,4,s,g0-10,580
87,4,s,g0-11,1183
88,4,s,g1-00,1390
89,4,s,g1-01,4720
90,4,s,g1-10,1415
91,4,s,g1-11,4798
92,5,i,g0-00,3
93,5,i,g0-01,7
94,5,i,g0-10,5
95,5,i,g0-11,8
96,5,i,g1-00,1
97,5,i,g1-01,15
98,5,i,g1-10,1
99,5,i,g1-11,14
100,5,r,g0-00,1
101,5,r,g1-00,3
102,5,r,g1-01,6
103,5,r,g1-10,3
104,5,r,g1-11,4
105,5,s,g0-00,589
106,5,s,g0-01,1181
107,5,s,g0-10,608
108,5,s,g0-11,1221
109,5,s,g1-00,1403
110,5,s,g1-01,4791
111,5,s,g1-10,1383
112,5,s,g1-11,4753
113,6,i,g0-00,5
114,6,i,g0-01,17
115,6,i,g0-10,4
116,6,i,g0-11,14
117,6,i,g1-00,2
118,6,i,g1-01,17
119,6,i,g1-10,3
120,6,i,g1-11,23
121,6,r,g0-00,2
122,6,r,g0-01,1
123,6,r,g0-10,1
124,6,r,g0-11,3
125,6,r,g1-00,3
126,6,r,g1-01,9
127,6,r,g1-10,2
128,6,r,g1-11,3
