,time,infection_status,risk_group,count
0,0,i,g0-00,2
1,0,i,g0-01,2
2,0,i,g0-10,3
3,0,i,g0-11,1
4,0,i,g1-00,2
5,0,i,g1-01,2
6,0,i,g1-10,1
7,0,i,g1-11,3
8,0,s,g0-00,1845
9,0,s,g0-01,1269
10,0,s,g0-10,618
11,0,s,g0-11,408
12,0,s,g1-00,4151
13,0,s,g1-01,4727
14,0,s,g1-10,1378
15,0,s,g1-11,1588
16,1,i,g0-00,4
17,1,i,g0-01,3
18,1,i,g0-10,2
19,1,i,g0-11,2
20,1,i,g1-00,2
21,1,i,g1-01,2
22,1,i,g1-10,1
23,1,i,g1-11,2
24,1,r,g0-01,1
25,1,r,g1-10,1
26,1,r,g1-11,1
27,1,s,g0-00,1842
28,1,s,g0-01,1212
29,1,s,g0-10,593
30,1,s,g0-11,415
31,1,s,g1-00,4152
32,1,s,g1-01,4782
33,1,s,g1-10,1403
34,1,s,g1-11,1580
35,2,i,g0-00,10
36,2,i,g0-01,5
37,2,i,g0-11,4
38,2,i,g1-00,1
39,2,i,g1-01,2
40,2,i,g1-10,2
41,2,i,g1-11,1
42,2,r,g1-01,2
43,2,r,g1-10,2
44,2,r,g1-11,1
45,2,s,g0-00,1839
46,2,s,g0-01,1252
47,2,s,g0-10,590
48,2,s,g0-11,420
49,2,s,g1-00,4150
50,2,s,g1-01,4739
51,2,s,g1-10,1406
52,2,s,g1-11,1574
53,3,i,g0-00,4
54,3,i,g0-01,7
55,3,i,g0-11,2
56,3,i,g1-00,5
57,3,i,g1-01,2
58,3,i,g1-10,3
59,3,i,g1-11,3
60,3,r,g0-00,2
61,3,r,g1-01,2
62,3,r,g1-10,2
63,3,r,g1-11,2
64,3,s,g0-00,1795
65,3,s,g0-01,1238
66,3,s,g0-10,598
67,3,s,g0-11,400
68,3,s,g1-00,4194
69,3,s,g1-01,4751
70,3,s,g1-10,1397
71,3,s,g1-11,1593
72,4,i,g0-00,4
73,4,i,g0-01,5
74,4,i,g0-10,2
75,4,i,g0-11,5
76,4,i,g1-00,7
77,4,i,g1-01,6
78,4,i,g1-10,2
79,4,i,g1-11,1
80,4,r,g1-00,2
81,4,r,g1-01,2
82,4,r,g1-10,2
83,4,r,g1-11,2
84,4,s,g0-00,1763
85,4,s,g0-01,1224
86,4,s,g0-10,587
87,4,s,g0-11,402
88,4,s,g1-00,4224
89,4,s,g1-01,4763
90,4,s,g1-10,1407
91,4,s,g1-11,1590
92,5,i,g0-00,6
93,5,i,g0-01,8
94,5,i,g0-10,3
95,5,i,g0-11,4
96,5,i,g1-00,4
97,5,i,g1-01,8
98,5,i,g1-10,2
99,5,i,g1-11,4
100,5,r,g1-00,3
101,5,r,g1-01,5
102,5,r,g1-10,2
103,5,r,g1-11,2
104,5,s,g0-00,1816
105,5,s,g0-01,1293
106,5,s,g0-10,580
107,5,s,g0-11,426
108,5,s,g1-00,4171
109,5,s,g1-01,4686
110,5,s,g1-10,1413
111,5,s,g1-11,1564
112,6,i,g0-00,10
113,6,i,g0-01,6
114,6,i,g0-10,4
115,6,i,g0-11,4
116,6,i,g1-00,3
117,6,i,g1-01,12
118,6,i,g1-10,2
119,6,i,g1-11,6
120,6,r,g0-00,1
121,6,r,g1-00,4
122,6,r,g1-01,8
123,6,r,g1-10,2
124,6,r,g1-11,3
125,6,s,g0-00,1762
126,6,s,g0-01,1231
127,6,s,g0-10,592
128,6,s,g0-11,438
129,6,s,g1-00,4220
130,6,s,g1-01,4743
131,6,s,g1-10,1400
132,6,s,g1-11,1549
133,7,i,g0-00,8
134,7,i,g0-01,13
135,7,i,g0-10,3
136,7,i,g0-11,4
137,7,i,g1-00,5
138,7,i,g1-01,14
139,7,i,g1-10,3
140,7,i,g1-11,5
141,7,r,g0-00,1
142,7,r,g0-01,2
143,7,r,g0-10,1
144,7,r,g0-11,1
145,7,r,g1-00,6
146,7,r,g1-01,9
147,7,r,g1-10,1
148,7,r,g1-11,3
149,7,s,g0-00,1738
150,7,s,g0-01,1204
151,7,s,g0-10,604
152,7,s,g0-11,433
153,7,s,g1-00,4242
154,7,s,g1-01,4758
155,7,s,g1-10,1388
156,7,s,g1-11,1554
157,8,i,g0-00,10
158,8,i,g0-01,16
