,time,infection_status,risk_group,count
0,0,i,g0-00,2
1,0,i,g0-01,1
2,0,i,g0-10,3
3,0,i,g1-00,2
4,0,i,g1-01,3
5,0,i,g1-10,1
6,0,i,g1-11,4
7,0,s,g0-00,1188
8,0,s,g0-01,789
9,0,s,g0-10,1197
10,0,s,g0-11,818
11,0,s,g1-00,2808
12,0,s,g1-01,3207
13,0,s,g1-10,2799
14,0,s,g1-11,3178
15,1,i,g0-00,3
16,1,i,g0-01,1
17,1,i,g0-10,1
18,1,i,g0-11,3
19,1,i,g1-00,1
20,1,i,g1-01,4
21,1,i,g1-10,3
22,1,i,g1-11,2
23,1,s,g0-00,1216
24,1,s,g0-01,775
25,1,s,g0-10,1166
26,1,s,g0-11,818
27,1,s,g1-00,2780
28,1,s,g1-01,3220
29,1,s,g1-10,2830
30,1,s,g1-11,3177
31,2,i,g0-00,1
32,2,i,g0-01,3
33,2,i,g0-10,3
34,2,i,g0-11,2
35,2,i,g1-00,4
36,2,i,g1-01,4
37,2,i,g1-10,3
38,2,i,g1-11,3
39,2,r,g0-01,1
40,2,s,g0-00,1164
41,2,s,g0-01,856
42,2,s,g0-10,1212
43,2,s,g0-11,838
44,2,s,g1-00,2831
45,2,s,g1-01,3136
46,2,s,g1-10,2782
47,2,s,g1-11,3157
48,3,i,g0-00,2
49,3,i,g0-01,3
50,3,i,g0-10,4
51,3,i,g0-11,2
52,3,i,g1-00,2
53,3,i,g1-01,5
54,3,i,g1-10,3
55,3,i,g1-11,4
56,3,r,g0-00,1
57,3,r,g0-01,1
58,3,r,g0-10,1
59,3,r,g1-00,1
60,3,r,g1-10,1
61,3,r,g1-11,1
62,3,s,g0-00,1133
63,3,s,g0-01,804
64,3,s,g0-10,1175
65,3,s,g0-11,787
66,3,s,g1-00,2861
67,3,s,g1-01,3187
68,3,s,g1-10,2816
69,3,s,g1-11,3206
70,4,i,g0-00,3
71,4,i,g0-01,5
72,4,i,g0-10,4
73,4,i,g0-11,4
74,4,i,g1-00,4
75,4,i,g1-01,5
76,4,i,g1-10,2
77,4,i,g1-11,5
78,4,r,g0-10,1
79,4,r,g1-00,2
80,4,r,g1-01,1
81,4,r,g1-10,3
82,4,r,g1-11,1
83,4,s,g0-00,1176
84,4,s,g0-01,856
85,4,s,g0-10,1188
86,4,s,g0-11,859
87,4,s,g1-00,2815
88,4,s,g1-01,3133
89,4,s,g1-10,2802
90,4,s,g1-11,3131
91,5,i,g0-00,4
92,5,i,g0-01,6
93,5,i,g0-10,3
94,5,i,g0-11,5
95,5,i,g1-00,4
96,5,i,g1-01,7
97,5,i,g1-10,5
98,5,i,g1-11,3
99,5,r,g0-10,1
100,5,r,g0-11,1
101,5,r,g1-00,2
102,5,r,g1-01,2
103,5,r,g1-10,3
104,5,r,g1-11,1
105,5,s,g0-00,1116
106,5,s,g0-01,810
107,5,s,g0-10,1170
108,5,s,g0-11,814
109,5,s,g1-00,2874
110,5,s,g1-01,3175
111,5,s,g1-10,2818
112,5,s,g1-11,3176
113,6,i,g0-00,2
114,6,i,g0-01,11
115,6,i,g0-10,6
116,6,i,g0-11,5
117,6,i,g1-00,5
118,6,i,g1-01,3
119,6,i,g1-10,4
120,6,i,g1-11,5
121,6,r,g0-10,3
122,6,r,g1-00,4
123,6,r,g1-01,5
124,6,r,g1-10,1
125,6,r,g1-11,3
126,6,s,g0-00,1195
127,6,s,g0-01,834
128,6,s,g0-10,1209
129,6,s,g0-11,898
130,6,s,g1-00,2794
131,6,s,g1-01,3147
132,6,s,g1-10,2777
133,6,s,g1-11,3089
134,7,i,g0-00,2
135,7,i,g0-01,7
136,7,i,g0-10,9
137,7,i,g0-11,3
138,7,i,g1-00,5
139,7,i,g1-01,7
140,7,i,g1-10,3
141,7,i,g1-11,7
142,7,r,g0-01,3
143,7,r,g0-10,3
144,7,r,g0-11,2
145,7,r,g1-00,4
146,7,r,g1-01,5
147,7,r,g1-10,2
148,7,r,g1-11,3
149,7,s,g0-00,1196
150,7,s,g0-01,805
151,7,s,g0-10,1225
152,7,s,g0-11,834
153,7,s,g1-00,2793
154,7,s,g1-01,3173
155,7,s,g1-10,2758
156,7,s,g1-11,3151
157,8,i,g0-00,5
158,8,i,g0-01,7
159,8,i,g0-10,5
160,8,i,g0-11,5
161,8,i,g1-00,4
162,8,i,g1-01,8
163,8,i,g1-10,6
164,8,i,g1-11,6
165,8,r,g0-00,1
166,8,r,g0-01,3
167,8,r,g0-10,2
168,8,r,g0-11,2
169,8,r,g1-00,3
170,8,r,g1-01,8
171,8,r,g1-10,5
172,8,r,g1-11,4
173,8,s,g0-00,1209
174,8,s,g0-01,824
175,8,s,g0-10,1214
176,8,s,g0-11,862
177,8,s,g1-00,2778
178,8,s,g1-01,3150
179,8,s,g1-10,2768
180,8,s,g1-11,3121
