time,infection_status,risk_group,count,model
0,i,g0-00,2.2,60%
0,i,g0-01,1.75,60%
0,i,g0-10,2.2,60%
0,i,g0-11,1.8,60%
0,i,g1-00,1.8,60%
0,i,g1-01,2.6,60%
0,i,g1-10,1.8,60%
0,i,g1-11,2.4444444444444446,60%
0,s,g0-00,1205.9,60%
0,s,g0-01,829.5,60%
0,s,g0-10,1201.6,60%
0,s,g0-11,825.9,60%
0,s,g1-00,2790.1,60%
0,s,g1-01,3166.5,60%
0,s,g1-10,2794.4,60%
0,s,g1-11,3170.1,60%
1,i,g0-00,2.7,60%
1,i,g0-01,2.375,60%
1,i,g0-10,2.0,60%
1,i,g0-11,2.4,60%
1,i,g1-00,2.3333333333333335,60%
1,i,g1-01,3.0,60%
1,i,g1-10,2.7,60%
1,i,g1-11,2.5,60%
1,r,g1-00,1.3333333333333333,60%
1,r,g1-01,1.0,60%
1,r,g1-10,2.0,60%
1,r,g1-11,1.0,60%
1,s,g0-00,1191.9,60%
1,s,g0-01,820.0,60%
1,s,g0-10,1205.0,60%
1,s,g0-11,815.8,60%
1,s,g1-00,2802.9,60%
1,s,g1-01,3175.1,60%
1,s,g1-10,2790.1,60%
1,s,g1-11,3179.2,60%
2,i,g0-00,3.5,60%
2,i,g0-01,2.7777777777777777,60%
2,i,g0-10,2.6,60%
2,i,g0-11,2.5,60%
2,i,g1-00,2.125,60%
2,i,g1-01,4.1,60%
2,i,g1-10,2.7,60%
2,i,g1-11,4.0,60%
2,r,g0-00,1.0,60%
2,r,g0-01,1.0,60%
2,r,g0-10,1.0,60%
2,r,g0-11,1.0,60%
2,r,g1-00,1.2,60%
2,r,g1-01,1.0,60%
2,r,g1-10,2.0,60%
2,r,g1-11,1.25,60%
2,s,g0-00,1213.2,60%
2,s,g0-01,821.2,60%
2,s,g0-10,1188.8,60%
2,s,g0-11,823.7,60%
2,s,g1-00,2780.8,60%
2,s,g1-01,3171.8,60%
2,s,g1-10,2805.1,60%
2,s,g1-11,3169.2,60%
3,i,g0-00,4.1,60%
3,i,g0-01,3.3333333333333335,60%
3,i,g0-10,4.222222222222222,60%
3,i,g0-11,2.888888888888889,60%
3,i,g1-00,2.7777777777777777,60%
3,i,g1-01,4.4,60%
3,i,g1-10,2.4444444444444446,60%
3,i,g1-11,4.9,60%
3,r,g0-00,1.25,60%
3,r,g0-01,1.0,60%
3,r,g0-10,1.5,60%
