time,infection_status,risk_group,count,model
0,i,g0-00,2.111111111111111,60%
0,i,g0-01,1.8888888888888888,60%
0,i,g0-10,2.4,60%
0,i,g0-11,2.25,60%
0,i,g1-00,2.1,60%
0,i,g1-01,2.3,60%
0,i,g1-10,1.6,60%
0,i,g1-11,2.2,60%
0,s,g0-00,1192.7,60%
0,s,g0-01,825.4,60%
0,s,g0-10,1198.8,60%
0,s,g0-11,824.2,60%
0,s,g1-00,2803.3,60%
0,s,g1-01,3170.6,60%
0,s,g1-10,2797.2,60%
0,s,g1-11,3171.8,60%
1,i,g0-00,2.888888888888889,60%
1,i,g0-01,1.7142857142857142,60%
1,i,g0-10,2.3,60%
1,i,g0-11,2.0,60%
1,i,g1-00,2.5555555555555554,60%
1,i,g1-01,3.2,60%
1,i,g1-10,1.9,60%
1,i,g1-11,2.9,60%
1,r,g0-00,1.0,60%
1,r,g0-01,1.0,60%
1,r,g0-10,1.0,60%
1,r,g1-00,1.0,60%
1,r,g1-01,1.5,60%
1,r,g1-10,1.5,60%
1,r,g1-11,1.0,60%
1,s,g0-00,1176.4,60%
1,s,g0-01,820.7,60%
1,s,g0-10,1192.9,60%
1,s,g0-11,834.6,60%
1,s,g1-00,2818.3,60%
1,s,g1-01,3174.2,60%
1,s,g1-10,2802.1,60%
1,s,g1-11,3160.4,60%
2,i,g0-00,3.5555555555555554,60%
2,i,g0-01,2.111111111111111,60%
2,i,g0-10,2.5,60%
2,i,g0-11,2.3,60%
2,i,g1-00,2.5555555555555554,60%
2,i,g1-01,4.2,60%
2,i,g1-10,2.6,60%
2,i,g1-11,4.0,60%
2,r,g0-00,1.3333333333333333,60%
2,r,g0-10,1.25,60%
2,r,g0-11,1.0,60%
2,r,g1-00,1.4,60%
2,r,g1-01,1.5714285714285714,60%
2,r,g1-10,1.5,60%
2,r,g1-11,1.4285714285714286,60%
2,s,g0-00,1194.9,60%
2,s,g0-01,811.3,60%
2,s,g0-10,1208.5,60%
2,s,g0-11,816.8,60%
2,s,g1-00,2798.5,60%
2,s,g1-01,3181.5,60%
2,s,g1-10,2785.0,60%
2,s,g1-11,3176.1,60%
3,i,g0-00,3.3,60%
3,i,g0-01,3.3,60%
3,i,g0-10,3.2,60%
3,i,g0-11,4.0,60%
3,i,g1-00,3.3333333333333335,60%
3,i,g1-01,4.888888888888889,60%
3,i,g1-10,2.0,60%
3,i,g1-11,4.0,60%
3,r,g0-00,1.8,60%
3,r,g0-01,1.4,60%
3,r,g0-10,1.3333333333333333,60%
3,r,g0-11,1.25,60%
3,r,g1-00,1.4444444444444444,60%
3,r,g1-01,1.5,60%
3,r,g1-10,2.4285714285714284,60%
3,r,g1-11,1.8888888888888888,60%
3,s,g0-00,1202.8,60%
3,s,g0-01,819.9,60%
3,s,g0-10,1221.6,60%
3,s,g0-11,809.3,60%
3,s,g1-00,2788.7,60%
3,s,g1-01,3170.5,60%
3,s,g1-10,2770.7,60%
3,s,g1-11,3181.3,60%
4,i,g0-00,3.9,60%
4,i,g0-01,3.5,60%
4,i,g0-10,3.1,60%
4,i,g0-11,4.7,60%
4,i,g1-00,3.0,60%
4,i,g1-01,5.2,60%
4,i,g1-10,2.3,60%
4,i,g1-11,4.1,60%
4,r,g0-00,1.1666666666666667,60%
4,r,g0-01,1.1666666666666667,60%
4,r,g0-10,1.5,60%
4,r,g0-11,1.3333333333333333,60%
4,r,g1-00,2.888888888888889,60%
4,r,g1-01,2.888888888888889,60%
4,r,g1-10,2.6,60%
4,r,g1-11,2.7,60%
4,s,g0-00,1180.9,60%
4,s,g0-01,833.6,60%
4,s,g0-10,1190.4,60%
4,s,g0-11,812.5,60%
4,s,g1-00,2808.9,60%
4,s,g1-01,3154.4,60%
4,s,g1-10,2800.7,60%
4,s,g1-11,3175.6,60%
5,i,g0-00,4.5,60%
5,i,g0-01,4.6,60%
5,i,g0-10,3.888888888888889,60%
5,i,g0-11,4.6,60%
5,i,g1-00,3.5,60%
5,i,g1-01,5.9,60%
5,i,g1-10,2.2222222222222223,60%
5,i,g1-11,4.7,60%
5,r,g0-00,1.3333333333333333,60%
5,r,g0-01,1.3333333333333333,60%
5,r,g0-10,2.0,60%
5,r,g0-11,1.0,60%
5,r,g1-00,4.0,60%
5,r,g1-01,4.111111111111111,60%
5,r,g1-10,3.4,60%
5,r,g1-11,4.2,60%
5,s,g0-00,1190.0,60%
5,s,g0-01,839.7,60%
5,s,g0-10,1197.7,60%
5,s,g0-11,822.3,60%
5,s,g1-00,2797.6,60%
5,s,g1-01,3145.3,60%
5,s,g1-10,2791.8,60%
5,s,g1-11,3163.4,60%
6,i,g0-00,5.5,60%
6,i,g0-01,6.1,60%
6,i,g0-10,3.6,60%
6,i,g0-11,5.2,60%
6,i,g1-00,4.0,60%
6,i,g1-01,7.777777777777778,60%
6,i,g1-10,2.7,60%
6,i,g1-11,6.8,60%
6,r,g0-00,1.8888888888888888,60%
6,r,g0-01,1.25,60%
6,r,g0-10,2.111111111111111,60%
6,r,g0-11,2.8333333333333335,60%
6,r,g1-00,3.3,60%
6,r,g1-01,5.1,60%
6,r,g1-10,4.333333333333333,60%
6,r,g1-11,5.5,60%
6,s,g0-00,1206.6,60%
6,s,g0-01,811.0,60%
6,s,g0-10,1203.4,60%
6,s,g0-11,816.5,60%
6,s,g1-00,2778.9,60%
6,s,g1-01,3169.8,60%
6,s,g1-10,2784.5,60%
6,s,g1-11,3164.3,60%
7,i,g0-00,5.2,60%
7,i,g0-01,6.1,60%
7,i,g0-10,5.0,60%
7,i,g0-11,5.666666666666667,60%
7,i,g1-00,4.9,60%
7,i,g1-01,9.1,60%
7,i,g1-10,3.111111111111111,60%
7,i,g1-11,8.9,60%
7,r,g0-00,2.625,60%
7,r,g0-01,2.625,60%
7,r,g0-10,1.6666666666666667,60%
7,r,g0-11,1.875,60%
7,r,g1-00,4.5,60%
7,r,g1-01,6.0,60%
7,r,g1-10,5.1,60%
7,r,g1-11,7.6,60%
7,s,g0-00,1202.7,60%
7,s,g0-01,830.7,60%
7,s,g0-10,1193.5,60%
7,s,g0-11,815.5,60%
7,s,g1-00,2780.6,60%
7,s,g1-01,3146.0,60%
7,s,g1-10,2792.1,60%
7,s,g1-11,3161.4,60%
8,i,g0-00,6.1,60%
8,i,g0-01,8.7,60%
8,i,g0-10,4.1,60%
8,i,g0-11,8.2,60%
8,i,g1-00,4.9,60%
8,i,g1-01,9.9,60%
8,i,g1-10,5.5,60%
8,i,g1-11,8.4,60%
8,r,g0-00,3.4444444444444446,60%
8,r,g0-01,2.0,60%
8,r,g0-10,2.5714285714285716,60%
8,r,g0-11,2.3333333333333335,60%
8,r,g1-00,5.2,60%
8,r,g1-01,8.3,60%
8,r,g1-10,5.7,60%
8,r,g1-11,9.0,60%
8,s,g0-00,1190.5,60%
8,s,g0-01,810.7,60%
8,s,g0-10,1222.1,60%
8,s,g0-11,837.0,60%
8,s,g1-00,2790.2,60%
8,s,g1-01,3161.0,60%
8,s,g1-10,2760.8,60%
8,s,g1-11,3135.3,60%
9,i,g0-00,7.1,60%
9,i,g0-01,10.6,60%
9,i,g0-10,5.7,60%
9,i,g0-11,8.3,60%
9,i,g1-00,5.555555555555555,60%
9,i,g1-01,12.6,60%
9,i,g1-10,5.9,60%
9,i,g1-11,9.8,60%
9,r,g0-00,3.1,60%
9,r,g0-01,2.6666666666666665,60%
9,r,g0-10,2.7777777777777777,60%
9,r,g0-11,3.8,60%
9,r,g1-00,6.2,60%
9,r,g1-01,10.3,60%
9,r,g1-10,6.5,60%
9,r,g1-11,9.5,60%
9,s,g0-00,1202.4,60%
9,s,g0-01,820.1,60%
9,s,g0-10,1208.9,60%
9,s,g0-11,830.6,60%
9,s,g1-00,2776.2,60%
9,s,g1-01,3144.8,60%
9,s,g1-10,2770.5,60%
9,s,g1-11,3138.0,60%
10,i,g0-00,7.5,60%
10,i,g0-01,11.9,60%
10,i,g0-10,6.2,60%
10,i,g0-11,7.7,60%
10,i,g1-00,6.9,60%
10,i,g1-01,16.3,60%
10,i,g1-10,8.333333333333334,60%
10,i,g1-11,12.3,60%
10,r,g0-00,3.7,60%
10,r,g0-01,3.5,60%
10,r,g0-10,3.4444444444444446,60%
10,r,g0-11,3.5,60%
10,r,g1-00,7.7,60%
10,r,g1-01,12.1,60%
10,r,g1-10,8.5,60%
10,r,g1-11,13.4,60%
10,s,g0-00,1182.5,60%
10,s,g0-01,823.9,60%
10,s,g0-10,1212.6,60%
10,s,g0-11,835.0,60%
10,s,g1-00,2791.7,60%
10,s,g1-01,3133.0,60%
10,s,g1-10,2762.1,60%
10,s,g1-11,3128.1,60%
11,i,g0-00,8.7,60%
11,i,g0-01,13.6,60%
11,i,g0-10,8.8,60%
11,i,g0-11,10.7,60%
11,i,g1-00,9.2,60%
11,i,g1-01,19.8,60%
11,i,g1-10,7.4,60%
11,i,g1-11,13.7,60%
11,r,g0-00,4.1,60%
11,r,g0-01,3.7,60%
11,r,g0-10,4.0,60%
11,r,g0-11,4.0,60%
11,r,g1-00,9.7,60%
11,r,g1-01,14.3,60%
11,r,g1-10,9.8,60%
11,r,g1-11,15.9,60%
11,s,g0-00,1196.4,60%
11,s,g0-01,830.4,60%
11,s,g0-10,1194.3,60%
11,s,g0-11,821.9,60%
11,s,g1-00,2771.9,60%
11,s,g1-01,3118.2,60%
11,s,g1-10,2775.7,60%
11,s,g1-11,3133.8,60%
12,i,g0-00,10.3,60%
12,i,g0-01,16.5,60%
12,i,g0-10,11.1,60%
12,i,g0-11,13.4,60%
12,i,g1-00,10.7,60%
12,i,g1-01,21.5,60%
12,i,g1-10,8.6,60%
12,i,g1-11,16.5,60%
12,r,g0-00,3.9,60%
12,r,g0-01,4.5,60%
12,r,g0-10,5.2,60%
12,r,g0-11,4.888888888888889,60%
12,r,g1-00,12.6,60%
12,r,g1-01,17.8,60%
12,r,g1-10,11.1,60%
12,r,g1-11,18.5,60%
12,s,g0-00,1193.6,60%
12,s,g0-01,819.6,60%
12,s,g0-10,1206.8,60%
12,s,g0-11,850.1,60%
12,s,g1-00,2768.9,60%
12,s,g1-01,3120.1,60%
12,s,g1-10,2757.2,60%
12,s,g1-11,3097.1,60%
13,i,g0-00,15.2,60%
13,i,g0-01,16.8,60%
13,i,g0-10,11.4,60%
13,i,g0-11,13.9,60%
13,i,g1-00,11.1,60%
13,i,g1-01,26.3,60%
13,i,g1-10,12.0,60%
13,i,g1-11,23.0,60%
13,r,g0-00,6.3,60%
13,r,g0-01,5.7,60%
13,r,g0-10,5.5,60%
13,r,g0-11,5.9,60%
13,r,g1-00,13.4,60%
13,r,g1-01,22.1,60%
13,r,g1-10,13.5,60%
13,r,g1-11,21.3,60%
13,s,g0-00,1191.2,60%
13,s,g0-01,817.6,60%
13,s,g0-10,1213.3,60%
13,s,g0-11,837.8,60%
13,s,g1-00,2762.8,60%
13,s,g1-01,3111.5,60%
13,s,g1-10,2744.3,60%
13,s,g1-11,3098.1,60%
14,i,g0-00,15.2,60%
14,i,g0-01,20.3,60%
14,i,g0-10,16.1,60%
14,i,g0-11,19.6,60%
14,i,g1-00,15.2,60%
14,i,g1-01,28.4,60%
14,i,g1-10,12.6,60%
14,i,g1-11,24.7,60%
14,r,g0-00,5.5,60%
14,r,g0-01,7.4,60%
14,r,g0-10,6.9,60%
14,r,g0-11,6.2,60%
14,r,g1-00,18.1,60%
14,r,g1-01,26.2,60%
14,r,g1-10,15.1,60%
14,r,g1-11,26.0,60%
14,s,g0-00,1192.4,60%
14,s,g0-01,818.2,60%
14,s,g0-10,1201.1,60%
14,s,g0-11,838.8,60%
14,s,g1-00,2753.6,60%
14,s,g1-01,3099.5,60%
14,s,g1-10,2748.2,60%
14,s,g1-11,3084.7,60%
15,i,g0-00,18.5,60%
15,i,g0-01,23.9,60%
15,i,g0-10,20.0,60%
15,i,g0-11,22.5,60%
15,i,g1-00,16.2,60%
15,i,g1-01,33.4,60%
15,i,g1-10,15.4,60%
15,i,g1-11,28.2,60%
15,r,g0-00,10.6,60%
15,r,g0-01,8.0,60%
15,r,g0-10,8.2,60%
15,r,g0-11,8.0,60%
15,r,g1-00,17.4,60%
15,r,g1-01,33.2,60%
15,r,g1-10,17.2,60%
15,r,g1-11,31.1,60%
15,s,g0-00,1202.1,60%
15,s,g0-01,818.4,60%
15,s,g0-10,1218.2,60%
15,s,g0-11,827.9,60%
15,s,g1-00,2735.2,60%
15,s,g1-01,3083.1,60%
15,s,g1-10,2721.0,60%
15,s,g1-11,3082.3,60%
16,i,g0-00,19.8,60%
16,i,g0-01,25.2,60%
16,i,g0-10,22.3,60%
16,i,g0-11,25.7,60%
16,i,g1-00,19.8,60%
16,i,g1-01,36.2,60%
16,i,g1-10,18.6,60%
16,i,g1-11,32.9,60%
16,r,g0-00,9.9,60%
16,r,g0-01,10.5,60%
16,r,g0-10,8.7,60%
16,r,g0-11,10.6,60%
16,r,g1-00,23.0,60%
16,r,g1-01,39.8,60%
16,r,g1-10,21.8,60%
16,r,g1-11,36.4,60%
16,s,g0-00,1188.0,60%
16,s,g0-01,823.0,60%
16,s,g0-10,1220.6,60%
16,s,g0-11,839.8,60%
16,s,g1-00,2739.5,60%
16,s,g1-01,3065.3,60%
16,s,g1-10,2708.0,60%
16,s,g1-11,3054.6,60%
17,i,g0-00,25.9,60%
17,i,g0-01,30.7,60%
17,i,g0-10,24.2,60%
17,i,g0-11,29.7,60%
17,i,g1-00,20.9,60%
17,i,g1-01,43.0,60%
17,i,g1-10,23.1,60%
17,i,g1-11,39.7,60%
17,r,g0-00,11.4,60%
17,r,g0-01,11.0,60%
17,r,g0-10,11.3,60%
17,r,g0-11,11.8,60%
17,r,g1-00,27.5,60%
17,r,g1-01,45.7,60%
17,r,g1-10,27.1,60%
17,r,g1-11,43.8,60%
17,s,g0-00,1180.7,60%
17,s,g0-01,809.2,60%
17,s,g0-10,1215.9,60%
17,s,g0-11,839.0,60%
17,s,g1-00,2733.6,60%
17,s,g1-01,3060.4,60%
17,s,g1-10,2698.4,60%
17,s,g1-11,3036.0,60%
18,i,g0-00,29.2,60%
18,i,g0-01,36.3,60%
18,i,g0-10,30.6,60%
18,i,g0-11,35.7,60%
18,i,g1-00,25.0,60%
18,i,g1-01,48.4,60%
18,i,g1-10,25.3,60%
18,i,g1-11,48.2,60%
18,r,g0-00,13.8,60%
18,r,g0-01,15.0,60%
18,r,g0-10,11.4,60%
18,r,g0-11,13.5,60%
18,r,g1-00,32.8,60%
18,r,g1-01,52.3,60%
18,r,g1-10,32.9,60%
18,r,g1-11,52.6,60%
18,s,g0-00,1178.7,60%
18,s,g0-01,811.5,60%
18,s,g0-10,1232.9,60%
18,s,g0-11,853.4,60%
18,s,g1-00,2720.5,60%
18,s,g1-01,3036.5,60%
18,s,g1-10,2666.9,60%
18,s,g1-11,2996.6,60%
19,i,g0-00,35.1,60%
19,i,g0-01,38.3,60%
19,i,g0-10,35.3,60%
19,i,g0-11,38.0,60%
19,i,g1-00,26.8,60%
19,i,g1-01,59.2,60%
19,i,g1-10,30.5,60%
19,i,g1-11,56.6,60%
19,r,g0-00,16.3,60%
19,r,g0-01,16.5,60%
19,r,g0-10,15.4,60%
19,r,g0-11,16.9,60%
19,r,g1-00,37.9,60%
19,r,g1-01,63.7,60%
19,r,g1-10,36.2,60%
19,r,g1-11,59.4,60%
19,s,g0-00,1195.4,60%
19,s,g0-01,815.6,60%
19,s,g0-10,1234.3,60%
19,s,g0-11,858.8,60%
19,s,g1-00,2688.5,60%
19,s,g1-01,3006.7,60%
19,s,g1-10,2648.3,60%
19,s,g1-11,2970.3,60%
20,i,g0-00,38.9,60%
20,i,g0-01,49.8,60%
20,i,g0-10,40.3,60%
20,i,g0-11,46.5,60%
20,i,g1-00,31.8,60%
20,i,g1-01,67.6,60%
20,i,g1-10,36.5,60%
20,i,g1-11,60.8,60%
