time,infection_status,risk_group,count,model
0,i,g0-00,1.6666666666666667,60%
0,i,g0-01,1.8333333333333333,60%
0,i,g0-10,2.0,60%
0,i,g0-11,1.3333333333333333,60%
0,i,g1-00,3.1666666666666665,60%
0,i,g1-01,2.1666666666666665,60%
0,i,g1-10,2.0,60%
0,i,g1-11,3.3333333333333335,60%
0,s,g0-00,1051.5,60%
0,s,g0-01,708.0,60%
0,s,g0-10,1025.3333333333333,60%
0,s,g0-11,692.3333333333334,60%
0,s,g1-00,2944.5,60%
0,s,g1-01,3288.0,60%
0,s,g1-10,2970.6666666666665,60%
0,s,g1-11,3303.6666666666665,60%
1,i,g0-00,2.1666666666666665,60%
1,i,g0-01,2.3333333333333335,60%
1,i,g0-10,2.5,60%
1,i,g0-11,1.8,60%
1,i,g1-00,3.0,60%
1,i,g1-01,3.3333333333333335,60%
1,i,g1-10,2.5,60%
1,i,g1-11,3.6666666666666665,60%
1,r,g0-10,1.0,60%
1,r,g1-00,2.0,60%
1,r,g1-01,1.0,60%
1,r,g1-10,1.0,60%
1,r,g1-11,1.0,60%
1,s,g0-00,1009.8333333333334,60%
1,s,g0-01,692.3333333333334,60%
1,s,g0-10,1019.6666666666666,60%
1,s,g0-11,688.6666666666666,60%
1,s,g1-00,2984.6666666666665,60%
1,s,g1-01,3301.8333333333335,60%
1,s,g1-10,2974.8333333333335,60%
1,s,g1-11,3305.6666666666665,60%
2,i,g0-00,2.2,60%
2,i,g0-01,1.6666666666666667,60%
2,i,g0-10,2.8,60%
2,i,g0-11,2.0,60%
2,i,g1-00,4.0,60%
2,i,g1-01,6.333333333333333,60%
2,i,g1-10,2.3333333333333335,60%
2,i,g1-11,4.833333333333333,60%
2,r,g0-00,1.0,60%
2,r,g0-01,1.0,60%
2,r,g0-10,1.25,60%
2,r,g0-11,1.0,60%
2,r,g1-00,2.0,60%
2,r,g1-01,1.3333333333333333,60%
2,r,g1-10,1.6666666666666667,60%
2,r,g1-11,1.25,60%
2,s,g0-00,1023.1666666666666,60%
2,s,g0-01,691.5,60%
2,s,g0-10,1015.1666666666666,60%
2,s,g0-11,682.3333333333334,60%
2,s,g1-00,2969.8333333333335,60%
2,s,g1-01,3300.5,60%
2,s,g1-10,2978.5,60%
2,s,g1-11,3310.3333333333335,60%
3,i,g0-00,3.6,60%
3,i,g0-01,3.2,60%
3,i,g0-10,2.2,60%
3,i,g0-11,2.4,60%
3,i,g1-00,4.333333333333333,60%
3,i,g1-01,5.333333333333333,60%
3,i,g1-10,3.1666666666666665,60%
3,i,g1-11,6.333333333333333,60%
3,r,g0-00,1.5,60%
3,r,g0-01,1.5,60%
3,r,g0-10,1.5,60%
3,r,g0-11,1.0,60%
3,r,g1-00,1.5,60%
3,r,g1-01,2.0,60%
3,r,g1-10,1.8,60%
3,r,g1-11,2.0,60%
3,s,g0-00,1027.8333333333333,60%
3,s,g0-01,682.0,60%
3,s,g0-10,1041.6666666666667,60%
3,s,g0-11,681.8333333333334,60%
3,s,g1-00,2962.8333333333335,60%
3,s,g1-01,3307.8333333333335,60%
3,s,g1-10,2950.8333333333335,60%
3,s,g1-11,3307.8333333333335,60%
4,i,g0-00,2.3333333333333335,60%
4,i,g0-01,3.3333333333333335,60%
4,i,g0-10,2.3333333333333335,60%
4,i,g0-11,3.8,60%
4,i,g1-00,6.0,60%
4,i,g1-01,6.2,60%
4,i,g1-10,3.1666666666666665,60%
4,i,g1-11,6.5,60%
4,r,g0-00,1.3333333333333333,60%
4,r,g0-01,1.5,60%
4,r,g0-10,1.75,60%
4,r,g0-11,2.5,60%
4,r,g1-00,2.8,60%
4,r,g1-01,3.5,60%
4,r,g1-10,2.8,60%
4,r,g1-11,2.3333333333333335,60%
4,s,g0-00,1037.0,60%
4,s,g0-01,699.6666666666666,60%
4,s,g0-10,1030.0,60%
4,s,g0-11,711.3333333333334,60%
4,s,g1-00,2951.6666666666665,60%
4,s,g1-01,3287.8333333333335,60%
4,s,g1-10,2961.0,60%
4,s,g1-11,3275.8333333333335,60%
5,i,g0-00,3.1666666666666665,60%
5,i,g0-01,2.8,60%
5,i,g0-10,2.6,60%
5,i,g0-11,2.3333333333333335,60%
5,i,g1-00,6.666666666666667,60%
5,i,g1-01,9.0,60%
5,i,g1-10,4.166666666666667,60%
5,i,g1-11,7.666666666666667,60%
5,r,g0-00,1.1666666666666667,60%
5,r,g0-01,1.25,60%
5,r,g0-10,1.25,60%
5,r,g0-11,1.0,60%
5,r,g1-00,2.6666666666666665,60%
5,r,g1-01,4.166666666666667,60%
5,r,g1-10,3.8333333333333335,60%
5,r,g1-11,4.0,60%
5,s,g0-00,1023.3333333333334,60%
5,s,g0-01,693.6666666666666,60%
5,s,g0-10,1049.8333333333333,60%
5,s,g0-11,689.3333333333334,60%
5,s,g1-00,2963.0,60%
5,s,g1-01,3290.0,60%
5,s,g1-10,2939.1666666666665,60%
5,s,g1-11,3296.3333333333335,60%
6,i,g0-00,4.166666666666667,60%
6,i,g0-01,5.4,60%
