time,infection_status,risk_group,count,model
7,i,g1-01,10.1,60%
7,i,g1-10,6.7,60%
7,i,g1-11,10.4,60%
7,r,g0-00,2.7,60%
7,r,g0-01,1.6666666666666667,60%
7,r,g0-10,2.6666666666666665,60%
7,r,g0-11,2.4444444444444446,60%
7,r,g1-00,5.2,60%
7,r,g1-01,6.3,60%
7,r,g1-10,5.3,60%
7,r,g1-11,7.1,60%
7,s,g0-00,1184.8,60%
7,s,g0-01,831.7,60%
7,s,g0-10,1185.5,60%
7,s,g0-11,817.2,60%
7,s,g1-00,2795.8,60%
7,s,g1-01,3145.9,60%
7,s,g1-10,2795.1,60%
7,s,g1-11,3157.2,60%
8,i,g0-00,6.5,60%
8,i,g0-01,5.8,60%
8,i,g0-10,6.3,60%
8,i,g0-11,7.0,60%
8,i,g1-00,6.9,60%
8,i,g1-01,12.4,60%
8,i,g1-10,7.8,60%
8,i,g1-11,13.8,60%
8,r,g0-00,3.0,60%
8,r,g0-01,2.7777777777777777,60%
8,r,g0-10,3.1,60%
8,r,g0-11,2.875,60%
8,r,g1-00,6.5,60%
8,r,g1-01,7.7,60%
8,r,g1-10,6.3,60%
8,r,g1-11,8.6,60%
8,s,g0-00,1198.5,60%
8,s,g0-01,825.0,60%
8,s,g0-10,1205.2,60%
8,s,g0-11,828.2,60%
8,s,g1-00,2778.6,60%
8,s,g1-01,3146.6,60%
8,s,g1-10,2771.3,60%
8,s,g1-11,3140.1,60%
9,i,g0-00,6.7,60%
9,i,g0-01,6.3,60%
9,i,g0-10,8.3,60%
9,i,g0-11,9.7,60%
9,i,g1-00,8.5,60%
9,i,g1-01,16.2,60%
9,i,g1-10,8.5,60%
9,i,g1-11,14.4,60%
9,r,g0-00,4.5,60%
9,r,g0-01,3.1,60%
9,r,g0-10,4.222222222222222,60%
9,r,g0-11,2.6666666666666665,60%
9,r,g1-00,6.8,60%
9,r,g1-01,9.0,60%
9,r,g1-10,8.333333333333334,60%
9,r,g1-11,12.3,60%
9,s,g0-00,1190.5,60%
9,s,g0-01,833.1,60%
9,s,g0-10,1225.3,60%
9,s,g0-11,840.9,60%
9,s,g1-00,2783.0,60%
9,s,g1-01,3132.3,60%
9,s,g1-10,2746.6,60%
9,s,g1-11,3120.3,60%
10,i,g0-00,8.9,60%
10,i,g0-01,8.8,60%
10,i,g0-10,8.4,60%
10,i,g0-11,10.9,60%
10,i,g1-00,10.1,60%
10,i,g1-01,17.9,60%
10,i,g1-10,11.5,60%
10,i,g1-11,16.4,60%
10,r,g0-00,4.1,60%
10,r,g0-01,3.8,60%
10,r,g0-10,3.9,60%
10,r,g0-11,3.4,60%
10,r,g1-00,9.3,60%
10,r,g1-01,11.8,60%
10,r,g1-10,9.5,60%
10,r,g1-11,15.5,60%
10,s,g0-00,1187.0,60%
10,s,g0-01,845.3,60%
10,s,g0-10,1213.4,60%
10,s,g0-11,855.0,60%
10,s,g1-00,2780.6,60%
10,s,g1-01,3112.4,60%
10,s,g1-10,2753.3,60%
10,s,g1-11,3098.8,60%
11,i,g0-00,10.1,60%
11,i,g0-01,9.0,60%
11,i,g0-10,10.6,60%
11,i,g0-11,13.2,60%
11,i,g1-00,11.4,60%
11,i,g1-01,21.7,60%
11,i,g1-10,13.2,60%
11,i,g1-11,21.1,60%
11,r,g0-00,4.6,60%
11,r,g0-01,4.0,60%
11,r,g0-10,4.6,60%
11,r,g0-11,4.9,60%
11,r,g1-00,12.3,60%
11,r,g1-01,15.8,60%
11,r,g1-10,11.5,60%
11,r,g1-11,17.0,60%
11,s,g0-00,1186.8,60%
11,s,g0-01,830.8,60%
11,s,g0-10,1232.3,60%
11,s,g0-11,845.0,60%
11,s,g1-00,2774.8,60%
11,s,g1-01,3119.1,60%
11,s,g1-10,2727.8,60%
11,s,g1-11,3098.8,60%
12,i,g0-00,11.2,60%
12,i,g0-01,12.8,60%
12,i,g0-10,12.0,60%
12,i,g0-11,14.4,60%
12,i,g1-00,14.6,60%
12,i,g1-01,26.0,60%
12,i,g1-10,15.1,60%
12,i,g1-11,26.0,60%
12,r,g0-00,7.1,60%
12,r,g0-01,4.4,60%
12,r,g0-10,6.5,60%
