time,infection_status,risk_group,count,model
0,i,g0-00,2.7,60%
0,i,g0-01,1.5,60%
0,i,g0-10,1.6666666666666667,60%
0,i,g0-11,2.111111111111111,60%
0,i,g1-00,1.8571428571428572,60%
0,i,g1-01,2.5,60%
0,i,g1-10,2.5,60%
0,i,g1-11,2.3333333333333335,60%
0,s,g0-00,1191.1,60%
0,s,g0-01,822.3,60%
0,s,g0-10,1201.0,60%
0,s,g0-11,826.3,60%
0,s,g1-00,2804.9,60%
0,s,g1-01,3173.7,60%
0,s,g1-10,2795.0,60%
0,s,g1-11,3169.7,60%
1,i,g0-00,2.4,60%
1,i,g0-01,2.125,60%
1,i,g0-10,2.2222222222222223,60%
1,i,g0-11,2.0,60%
1,i,g1-00,2.0,60%
1,i,g1-01,2.8,60%
1,i,g1-10,2.2222222222222223,60%
1,i,g1-11,2.5555555555555554,60%
1,r,g0-00,1.0,60%
1,r,g0-01,1.0,60%
1,r,g0-10,1.0,60%
1,r,g0-11,1.0,60%
1,r,g1-00,1.0,60%
1,r,g1-01,1.0,60%
1,r,g1-10,1.0,60%
1,r,g1-11,1.3333333333333333,60%
1,s,g0-00,1190.7,60%
1,s,g0-01,803.5,60%
1,s,g0-10,1188.2,60%
1,s,g0-11,824.9,60%
1,s,g1-00,2804.6,60%
1,s,g1-01,3191.4,60%
1,s,g1-10,2807.1,60%
1,s,g1-11,3170.1,60%
2,i,g0-00,3.6,60%
2,i,g0-01,2.0,60%
2,i,g0-10,3.125,60%
2,i,g0-11,2.5,60%
2,i,g1-00,2.1,60%
2,i,g1-01,2.9,60%
2,i,g1-10,2.5,60%
2,i,g1-11,2.8,60%
2,r,g0-00,1.0,60%
2,r,g0-01,1.0,60%
2,r,g0-10,1.5,60%
2,r,g0-11,1.3333333333333333,60%
2,r,g1-00,1.6,60%
2,r,g1-01,1.6666666666666667,60%
2,r,g1-10,1.0,60%
2,r,g1-11,1.75,60%
2,s,g0-00,1205.0,60%
2,s,g0-01,819.2,60%
2,s,g0-10,1181.0,60%
2,s,g0-11,829.1,60%
2,s,g1-00,2788.2,60%
2,s,g1-01,3175.0,60%
2,s,g1-10,2813.2,60%
2,s,g1-11,3165.0,60%
3,i,g0-00,4.0,60%
3,i,g0-01,2.5,60%
3,i,g0-10,2.0,60%
3,i,g0-11,2.7,60%
3,i,g1-00,2.125,60%
3,i,g1-01,4.222222222222222,60%
3,i,g1-10,3.0,60%
3,i,g1-11,3.2,60%
3,r,g0-00,1.2,60%
3,r,g0-01,1.5,60%
3,r,g0-10,1.0,60%
3,r,g0-11,1.0,60%
3,r,g1-00,2.6666666666666665,60%
3,r,g1-01,2.2857142857142856,60%
3,r,g1-10,1.3333333333333333,60%
3,r,g1-11,1.7777777777777777,60%
3,s,g0-00,1199.8,60%
3,s,g0-01,816.9,60%
3,s,g0-10,1205.2,60%
3,s,g0-11,807.7,60%
3,s,g1-00,2792.3,60%
3,s,g1-01,3174.9,60%
3,s,g1-10,2788.2,60%
3,s,g1-11,3184.5,60%
4,i,g0-00,3.8,60%
4,i,g0-01,3.4,60%
4,i,g0-10,3.1,60%
4,i,g0-11,3.3,60%
4,i,g1-00,2.6666666666666665,60%
4,i,g1-01,4.2,60%
4,i,g1-10,3.0,60%
4,i,g1-11,4.0,60%
4,r,g0-00,1.5,60%
4,r,g0-01,1.5,60%
4,r,g0-10,1.25,60%
4,r,g0-11,1.25,60%
4,r,g1-00,2.5555555555555554,60%
4,r,g1-01,2.7,60%
4,r,g1-10,1.6666666666666667,60%
4,r,g1-11,2.111111111111111,60%
4,s,g0-00,1210.4,60%
4,s,g0-01,836.4,60%
4,s,g0-10,1191.4,60%
4,s,g0-11,824.1,60%
4,s,g1-00,2780.2,60%
4,s,g1-01,3152.7,60%
4,s,g1-10,2800.5,60%
4,s,g1-11,3165.7,60%
5,i,g0-00,4.7,60%
5,i,g0-01,3.4,60%
5,i,g0-10,3.4444444444444446,60%
5,i,g0-11,3.6,60%
5,i,g1-00,2.6,60%
5,i,g1-01,5.9,60%
5,i,g1-10,3.3,60%
5,i,g1-11,5.3,60%
5,r,g0-00,1.3333333333333333,60%
5,r,g0-01,1.6,60%
5,r,g0-10,1.8333333333333333,60%
5,r,g0-11,1.1428571428571428,60%
5,r,g1-00,3.1,60%
5,r,g1-01,3.1,60%
5,r,g1-10,1.7,60%
5,r,g1-11,3.5555555555555554,60%
5,s,g0-00,1219.6,60%
5,s,g0-01,828.3,60%
5,s,g0-10,1207.5,60%
5,s,g0-11,832.7,60%
5,s,g1-00,2769.2,60%
5,s,g1-01,3158.5,60%
5,s,g1-10,2783.3,60%
5,s,g1-11,3154.4,60%
6,i,g0-00,4.5,60%
6,i,g0-01,4.4,60%
6,i,g0-10,4.2,60%
6,i,g0-11,3.6,60%
6,i,g1-00,3.3,60%
6,i,g1-01,5.6,60%
6,i,g1-10,3.3,60%
6,i,g1-11,6.8,60%
6,r,g0-00,1.7777777777777777,60%
6,r,g0-01,1.2857142857142858,60%
