time,infection_status,risk_group,count,model
0,i,g0-00,2.4444444444444446,60%
0,i,g0-01,1.6666666666666667,60%
0,i,g0-10,2.0,60%
0,i,g0-11,1.5,60%
0,i,g1-00,2.0,60%
0,i,g1-01,3.0,60%
0,i,g1-10,2.2,60%
0,i,g1-11,2.8,60%
0,s,g0-00,817.9,60%
0,s,g0-01,537.5,60%
0,s,g0-10,815.6,60%
0,s,g0-11,536.2,60%
0,s,g1-00,3178.1,60%
0,s,g1-01,3458.5,60%
0,s,g1-10,3180.4,60%
0,s,g1-11,3459.8,60%
1,i,g0-00,2.2,60%
1,i,g0-01,2.1666666666666665,60%
1,i,g0-10,2.0,60%
1,i,g0-11,1.4444444444444444,60%
1,i,g1-00,2.8,60%
1,i,g1-01,4.0,60%
1,i,g1-10,3.6,60%
1,i,g1-11,4.2,60%
1,r,g0-01,1.0,60%
1,r,g1-00,1.2,60%
1,r,g1-01,1.0,60%
1,r,g1-10,1.0,60%
1,r,g1-11,1.0,60%
1,s,g0-00,824.0,60%
1,s,g0-01,539.1,60%
1,s,g0-10,815.7,60%
1,s,g0-11,539.8,60%
1,s,g1-00,3170.4,60%
1,s,g1-01,3455.0,60%
1,s,g1-10,3178.9,60%
1,s,g1-11,3454.6,60%
2,i,g0-00,3.6,60%
2,i,g0-01,1.875,60%
2,i,g0-10,2.2,60%
2,i,g0-11,2.4444444444444446,60%
2,i,g1-00,3.2,60%
2,i,g1-01,4.5,60%
2,i,g1-10,3.6,60%
2,i,g1-11,4.7,60%
2,r,g0-00,1.0,60%
2,r,g0-01,1.0,60%
2,r,g0-11,1.0,60%
2,r,g1-00,1.8333333333333333,60%
2,r,g1-01,1.625,60%
2,r,g1-10,1.8571428571428572,60%
2,r,g1-11,1.6666666666666667,60%
2,s,g0-00,824.0,60%
2,s,g0-01,534.4,60%
2,s,g0-10,820.2,60%
2,s,g0-11,538.0,60%
2,s,g1-00,3167.8,60%
2,s,g1-01,3458.0,60%
2,s,g1-10,3172.7,60%
2,s,g1-11,3453.9,60%
3,i,g0-00,3.0,60%
3,i,g0-01,2.625,60%
3,i,g0-10,3.2222222222222223,60%
3,i,g0-11,3.2,60%
3,i,g1-00,4.1,60%
3,i,g1-01,6.6,60%
3,i,g1-10,4.333333333333333,60%
3,i,g1-11,4.6,60%
3,r,g0-00,1.0,60%
3,r,g0-01,1.5,60%
3,r,g0-10,1.0,60%
3,r,g0-11,1.0,60%
3,r,g1-00,2.1,60%
3,r,g1-01,2.0,60%
3,r,g1-10,1.875,60%
3,r,g1-11,2.2222222222222223,60%
3,s,g0-00,817.6,60%
3,s,g0-01,538.2,60%
3,s,g0-10,827.9,60%
3,s,g0-11,546.1,60%
3,s,g1-00,3172.9,60%
3,s,g1-01,3450.8,60%
3,s,g1-10,3163.2,60%
3,s,g1-11,3443.7,60%
4,i,g0-00,3.3,60%
4,i,g0-01,3.6,60%
4,i,g0-10,3.3,60%
4,i,g0-11,3.6666666666666665,60%
4,i,g1-00,4.7,60%
4,i,g1-01,7.7,60%
4,i,g1-10,4.2,60%
4,i,g1-11,6.6,60%
4,r,g0-00,1.0,60%
4,r,g0-01,1.6666666666666667,60%
4,r,g0-10,1.2,60%
4,r,g0-11,1.3333333333333333,60%
4,r,g1-00,3.2,60%
4,r,g1-01,3.2222222222222223,60%
4,r,g1-10,2.6,60%
4,r,g1-11,3.5,60%
4,s,g0-00,803.2,60%
4,s,g0-01,532.3,60%
4,s,g0-10,836.0,60%
4,s,g0-11,542.8,60%
4,s,g1-00,3185.1,60%
4,s,g1-01,3453.0,60%
4,s,g1-10,3153.3,60%
4,s,g1-11,3443.4,60%
5,i,g0-00,3.9,60%
5,i,g0-01,3.6,60%
5,i,g0-10,4.1,60%
5,i,g0-11,3.5,60%
5,i,g1-00,4.9,60%
5,i,g1-01,9.3,60%
5,i,g1-10,5.3,60%
5,i,g1-11,8.777777777777779,60%
5,r,g0-00,1.25,60%
5,r,g0-01,1.6,60%
5,r,g0-10,1.0,60%
5,r,g0-11,1.25,60%
5,r,g1-00,3.9,60%
5,r,g1-01,4.4,60%
5,r,g1-10,3.6,60%
5,r,g1-11,4.2,60%
5,s,g0-00,814.7,60%
5,s,g0-01,546.7,60%
5,s,g0-10,803.4,60%
5,s,g0-11,542.7,60%
5,s,g1-00,3171.6,60%
5,s,g1-01,3435.2,60%
5,s,g1-10,3183.1,60%
5,s,g1-11,3441.2,60%
6,i,g0-00,4.5,60%
6,i,g0-01,3.7,60%
6,i,g0-10,4.3,60%
6,i,g0-11,4.6,60%
6,i,g1-00,6.3,60%
6,i,g1-01,11.6,60%
6,i,g1-10,7.6,60%
6,i,g1-11,10.4,60%
6,r,g0-00,1.375,60%
6,r,g0-01,1.3333333333333333,60%
6,r,g0-10,1.6666666666666667,60%
6,r,g0-11,1.6666666666666667,60%
