time,infection_status,risk_group,count,model
7,i,g1-01,3.3333333333333335,60%
7,i,g1-10,2.2857142857142856,60%
7,i,g1-11,3.6,60%
7,r,g0-00,1.375,60%
7,r,g0-01,1.3333333333333333,60%
7,r,g0-10,2.125,60%
7,r,g0-11,1.7142857142857142,60%
7,r,g1-00,2.6,60%
7,r,g1-01,3.8,60%
7,r,g1-10,2.7,60%
7,r,g1-11,3.1,60%
7,s,g0-00,1200.7,60%
7,s,g0-01,827.0,60%
7,s,g0-10,1201.1,60%
7,s,g0-11,817.5,60%
7,s,g1-00,2790.7,60%
7,s,g1-01,3162.6,60%
7,s,g1-10,2789.9,60%
7,s,g1-11,3172.1,60%
8,i,g0-00,3.4,60%
8,i,g0-01,3.0,60%
8,i,g0-10,2.0,60%
8,i,g0-11,3.3,60%
8,i,g1-00,2.7142857142857144,60%
8,i,g1-01,3.2,60%
8,i,g1-10,2.5,60%
8,i,g1-11,2.5555555555555554,60%
8,r,g0-00,2.0,60%
8,r,g0-01,2.5,60%
8,r,g0-10,2.0,60%
8,r,g0-11,1.4,60%
8,r,g1-00,2.6,60%
8,r,g1-01,4.9,60%
8,r,g1-10,3.4,60%
8,r,g1-11,4.0,60%
8,s,g0-00,1183.1,60%
8,s,g0-01,833.1,60%
8,s,g0-10,1209.4,60%
8,s,g0-11,823.9,60%
8,s,g1-00,2807.4,60%
8,s,g1-01,3155.4,60%
8,s,g1-10,2781.1,60%
8,s,g1-11,3165.1,60%
9,i,g0-00,3.0,60%
9,i,g0-01,2.4,60%
9,i,g0-10,3.4444444444444446,60%
9,i,g0-11,2.9,60%
9,i,g1-00,2.5555555555555554,60%
9,i,g1-01,4.1,60%
9,i,g1-10,2.0,60%
9,i,g1-11,3.6,60%
9,r,g0-00,1.625,60%
9,r,g0-01,2.111111111111111,60%
9,r,g0-10,1.9,60%
9,r,g0-11,1.75,60%
9,r,g1-00,3.9,60%
9,r,g1-01,4.4,60%
9,r,g1-10,3.5,60%
9,r,g1-11,4.6,60%
9,s,g0-00,1179.3,60%
9,s,g0-01,823.6,60%
9,s,g0-10,1196.5,60%
9,s,g0-11,823.4,60%
9,s,g1-00,2810.2,60%
9,s,g1-01,3163.6,60%
9,s,g1-10,2793.4,60%
9,s,g1-11,3164.1,60%
10,i,g0-00,2.5,60%
10,i,g0-01,3.0,60%
10,i,g0-10,2.8,60%
10,i,g0-11,3.6,60%
10,i,g1-00,3.2222222222222223,60%
10,i,g1-01,4.1,60%
10,i,g1-10,2.5,60%
10,i,g1-11,4.0,60%
10,r,g0-00,2.2,60%
10,r,g0-01,1.8571428571428572,60%
10,r,g0-10,2.0,60%
10,r,g0-11,1.2,60%
10,r,g1-00,3.6,60%
10,r,g1-01,6.2,60%
10,r,g1-10,4.6,60%
10,r,g1-11,5.8,60%
10,s,g0-00,1189.7,60%
