,time,infection_status,risk_group,count
0,0,i,g0-00,1
1,0,i,g0-01,2
2,0,i,g0-10,2
3,0,i,g0-11,2
4,0,i,g1-00,3
5,0,i,g1-01,2
6,0,i,g1-10,2
7,0,i,g1-11,2
8,0,s,g0-00,1007
9,0,s,g0-01,670
10,0,s,g0-10,1046
11,0,s,g0-11,690
12,0,s,g1-00,2989
13,0,s,g1-01,3326
14,0,s,g1-10,2950
15,0,s,g1-11,3306
16,1,i,g0-00,3
17,1,i,g0-01,2
18,1,i,g0-10,2
19,1,i,g0-11,4
20,1,i,g1-00,2
21,1,i,g1-01,3
22,1,i,g1-10,3
23,1,i,g1-11,2
24,1,r,g1-00,1
25,1,r,g1-01,1
26,1,r,g1-11,1
27,1,s,g0-00,1029
28,1,s,g0-01,685
29,1,s,g0-10,1045
30,1,s,g0-11,668
31,1,s,g1-00,2965
32,1,s,g1-01,3309
33,1,s,g1-10,2950
34,1,s,g1-11,3325
35,2,i,g0-00,3
36,2,i,g0-10,1
37,2,i,g0-11,3
38,2,i,g1-00,2
39,2,i,g1-01,6
40,2,i,g1-10,2
41,2,i,g1-11,5
42,2,r,g1-00,1
43,2,r,g1-01,2
44,2,r,g1-10,2
45,2,r,g1-11,3
46,2,s,g0-00,999
47,2,s,g0-01,719
48,2,s,g0-10,1010
49,2,s,g0-11,691
50,2,s,g1-00,2995
51,2,s,g1-01,3273
52,2,s,g1-10,2985
53,2,s,g1-11,3298
54,3,i,g0-00,3
55,3,i,g0-01,1
56,3,i,g0-10,4
57,3,i,g0-11,3
58,3,i,g1-00,3
59,3,i,g1-01,3
60,3,i,g1-10,1
61,3,i,g1-11,9
62,3,r,g0-00,1
63,3,r,g1-00,1
64,3,r,g1-01,4
65,3,r,g1-10,2
66,3,r,g1-11,4
67,3,s,g0-00,982
68,3,s,g0-01,675
69,3,s,g0-10,1022
70,3,s,g0-11,649
71,3,s,g1-00,3010
72,3,s,g1-01,3317
73,3,s,g1-10,2971
74,3,s,g1-11,3335
75,4,i,g0-00,3
76,4,i,g0-01,2
77,4,i,g0-10,3
78,4,i,g0-11,3
79,4,i,g1-00,2
80,4,i,g1-01,4
81,4,i,g1-10,4
82,4,i,g1-11,9
83,4,r,g0-00,2
84,4,r,g0-01,1
85,4,r,g0-11,2
86,4,r,g1-00,1
87,4,r,g1-01,3
88,4,r,g1-10,2
89,4,r,g1-11,5
90,4,s,g0-00,1021
91,4,s,g0-01,704
92,4,s,g0-10,966
93,4,s,g0-11,717
94,4,s,g1-00,2971
95,4,s,g1-01,3286
96,4,s,g1-10,3025
97,4,s,g1-11,3264
98,5,i,g0-00,6
99,5,i,g0-01,4
100,5,i,g0-10,1
101,5,i,g0-11,3
102,5,i,g1-00,2
103,5,i,g1-01,3
104,5,i,g1-10,6
105,5,i,g1-11,8
106,5,r,g0-01,1
107,5,r,g0-10,1
108,5,r,g0-11,2
109,5,r,g1-00,4
110,5,r,g1-01,5
111,5,r,g1-10,2
112,5,r,g1-11,7
113,5,s,g0-00,984
114,5,s,g0-01,714
115,5,s,g0-10,1000
116,5,s,g0-11,713
117,5,s,g1-00,3004
118,5,s,g1-01,3273
119,5,s,g1-10,2990
120,5,s,g1-11,3267
121,6,i,g0-00,3
122,6,i,g0-01,1
123,6,i,g0-10,5
124,6,i,g0-11,2
125,6,i,g1-00,5
126,6,i,g1-01,10
127,6,i,g1-10,3
128,6,i,g1-11,11
129,6,r,g0-00,2
130,6,r,g0-10,1
131,6,r,g1-00,4
132,6,r,g1-01,7
133,6,r,g1-10,4
134,6,r,g1-11,12
135,6,s,g0-00,1040
136,6,s,g0-01,715
137,6,s,g0-10,1042
138,6,s,g0-11,689
139,6,s,g1-00,2946
140,6,s,g1-01,3267
141,6,s,g1-10,2945
142,6,s,g1-11,3286
143,7,i,g0-00,5
144,7,i,g0-01,1
145,7,i,g0-10,3
146,7,i,g0-11,8
147,7,i,g1-00,6
148,7,i,g1-01,9
149,7,i,g1-10,6
150,7,i,g1-11,10
151,7,r,g0-00,2
152,7,r,g0-01,2
153,7,r,g0-10,3
154,7,r,g0-11,3
155,7,r,g1-00,4
156,7,r,g1-01,7
157,7,r,g1-10,3
158,7,r,g1-11,10
159,7,s,g0-00,979
160,7,s,g0-01,702
161,7,s,g0-10,1062
162,7,s,g0-11,690
163,7,s,g1-00,3004
164,7,s,g1-01,3279
165,7,s,g1-10,2923
166,7,s,g1-11,3279
167,8,i,g0-00,5
168,8,i,g0-01,7
169,8,i,g0-10,5
170,8,i,g0-11,5
171,8,i,g1-00,8
172,8,i,g1-01,8
173,8,i,g1-10,7
174,8,i,g1-11,14
175,8,r,g0-00,2
176,8,r,g0-01,1
177,8,r,g0-10,2
178,8,r,g0-11,2
179,8,r,g1-00,7
180,8,r,g1-01,8
181,8,r,g1-10,4
182,8,r,g1-11,14
183,8,s,g0-00,1012
184,8,s,g0-01,695
185,8,s,g0-10,1013
186,8,s,g0-11,698
187,8,s,g1-00,2966
188,8,s,g1-01,3281
189,8,s,g1-10,2969
190,8,s,g1-11,3267
191,9,i,g0-00,8
192,9,i,g0-01,9
193,9,i,g0-10,8
194,9,i,g0-11,12
195,9,i,g1-00,5
196,9,i,g1-01,9
197,9,i,g1-10,7
198,9,i,g1-11,14
199,9,r,g0-00,4
200,9,r,g0-01,3
201,9,r,g0-10,2
202,9,r,g0-11,4
203,9,r,g1-00,8
204,9,r,g1-01,9
205,9,r,g1-10,5
206,9,r,g1-11,16
207,9,s,g0-00,991
208,9,s,g0-01,681
209,9,s,g0-10,1021
210,9,s,g0-11,687
211,9,s,g1-00,2984
212,9,s,g1-01,3289
213,9,s,g1-10,2957
214,9,s,g1-11,3267
215,10,i,g0-00,6
216,10,i,g0-01,5
217,10,i,g0-10,13
218,10,i,g0-11,8
219,10,i,g1-00,5
220,10,i,g1-01,16
221,10,i,g1-10,9
222,10,i,g1-11,18
223,10,r,g0-00,4
224,10,r,g0-01,3
225,10,r,g0-10,3
226,10,r,g0-11,6
227,10,r,g1-00,12
228,10,r,g1-01,10
229,10,r,g1-10,4
230,10,r,g1-11,19
231,10,s,g0-00,1070
232,10,s,g0-01,688
233,10,s,g0-10,1021
234,10,s,g0-11,728
235,10,s,g1-00,2903
236,10,s,g1-01,3278
237,10,s,g1-10,2950
238,10,s,g1-11,3221
239,11,i,g0-00,7
240,11,i,g0-01,12
241,11,i,g0-10,15
242,11,i,g0-11,10
243,11,i,g1-00,8
244,11,i,g1-01,20
245,11,i,g1-10,14
246,11,i,g1-11,17
247,11,r,g0-00,3
248,11,r,g0-01,3
249,11,r,g0-10,1
250,11,r,g0-11,4
251,11,r,g1-00,15
252,11,r,g1-01,14
253,11,r,g1-10,7
254,11,r,g1-11,27
255,11,s,g0-00,1044
256,11,s,g0-01,689
257,11,s,g0-10,1026
258,11,s,g0-11,691
259,11,s,g1-00,2923
260,11,s,g1-01,3262
261,11,s,g1-10,2937
262,11,s,g1-11,3251
263,12,i,g0-00,10
264,12,i,g0-01,14
265,12,i,g0-10,19
266,12,i,g0-11,17
267,12,i,g1-00,8
268,12,i,g1-01,27
269,12,i,g1-10,13
270,12,i,g1-11,19
271,12,r,g0-00,5
272,12,r,g0-01,7
273,12,r,g0-10,3
274,12,r,g0-11,4
275,12,r,g1-00,15
276,12,r,g1-01,14
277,12,r,g1-10,6
278,12,r,g1-11,30
279,12,s,g0-00,1020
280,12,s,g0-01,657
281,12,s,g0-10,993
282,12,s,g0-11,695
283,12,s,g1-00,2942
284,12,s,g1-01,3281
285,12,s,g1-10,2966
286,12,s,g1-11,3235
287,13,i,g0-00,11
288,13,i,g0-01,11
289,13,i,g0-10,21
290,13,i,g0-11,11
291,13,i,g1-00,12
292,13,i,g1-01,24
293,13,i,g1-10,18
294,13,i,g1-11,35
295,13,r,g0-00,6
296,13,r,g0-01,7
297,13,r,g0-10,6
298,13,r,g0-11,6
299,13,r,g1-00,15
300,13,r,g1-01,27
301,13,r,g1-10,8
302,13,r,g1-11,36
303,13,s,g0-00,1009
304,13,s,g0-01,657
305,13,s,g0-10,1074
306,13,s,g0-11,726
307,13,s,g1-00,2947
308,13,s,g1-01,3274
309,13,s,g1-10,2873
